"Time","sum (container_memory_working_set_bytes{id!=""/"",pod_name=~""^()()().*$"",kubernetes_io_hostname=~""^.*$""}) by (pod_name)"
2024-05-29 11:33:00,12107333632
2024-05-29 11:33:02,12108156928
2024-05-29 11:33:04,12108808192
2024-05-29 11:33:06,12103020544
2024-05-29 11:33:08,12148690944
2024-05-29 11:33:10,12161073152
2024-05-29 11:33:12,12171853824
2024-05-29 11:33:14,12178214912
2024-05-29 11:33:16,12195266560
2024-05-29 11:33:18,12440707072
2024-05-29 11:33:20,12447469568
2024-05-29 11:33:22,12526379008
2024-05-29 11:33:24,12639064064
2024-05-29 11:33:26,12696190976
2024-05-29 11:33:28,12798046208
2024-05-29 11:33:30,12808073216
2024-05-29 11:33:32,12814835712
2024-05-29 11:33:34,12829114368
2024-05-29 11:33:36,12890935296
2024-05-29 11:33:38,13026807808
2024-05-29 11:33:40,13081964544
2024-05-29 11:33:42,13104418816
2024-05-29 11:33:44,13128007680
2024-05-29 11:33:46,13128941568
2024-05-29 11:33:48,13134548992
2024-05-29 11:33:50,13144383488
2024-05-29 11:33:52,13154107392
2024-05-29 11:33:54,13160177664
2024-05-29 11:33:56,13162618880
2024-05-29 11:33:58,13160480768
2024-05-29 11:34:00,13151748096
2024-05-29 11:34:02,13155110912
2024-05-29 11:34:04,13162422272
2024-05-29 11:34:06,13174665216
2024-05-29 11:34:08,13175275520
2024-05-29 11:34:10,13177544704
2024-05-29 11:34:12,13191745536
2024-05-29 11:34:14,13194915840
2024-05-29 11:34:16,13197365248
2024-05-29 11:34:18,13201625088
2024-05-29 11:34:20,13205491712
2024-05-29 11:34:22,13200232448
2024-05-29 11:34:24,13208268800
2024-05-29 11:34:26,13219590144
2024-05-29 11:34:28,13245734912
2024-05-29 11:34:30,13243662336
2024-05-29 11:34:32,13249277952
2024-05-29 11:34:34,13246627840
2024-05-29 11:34:36,13244485632
2024-05-29 11:34:38,13248430080
2024-05-29 11:34:40,13254995968
2024-05-29 11:34:42,13259108352
2024-05-29 11:34:44,13265465344
2024-05-29 11:34:46,13266751488
2024-05-29 11:34:48,13272018944
2024-05-29 11:34:50,13259460608
2024-05-29 11:34:52,13263687680
2024-05-29 11:34:54,13270605824
2024-05-29 11:34:56,13266120704
2024-05-29 11:34:58,13263982592
2024-05-29 11:35:00,13267783680
2024-05-29 11:35:02,13268459520
2024-05-29 11:35:04,13267185664
2024-05-29 11:35:06,13268463616
2024-05-29 11:35:08,13269676032
2024-05-29 11:35:10,13265555456
2024-05-29 11:35:12,13262508032
2024-05-29 11:35:14,13265293312
2024-05-29 11:35:16,13268979712
2024-05-29 11:35:18,13271031808
2024-05-29 11:35:20,13269364736
2024-05-29 11:35:22,13265612800
2024-05-29 11:35:24,13272182784
2024-05-29 11:35:26,13271068672
2024-05-29 11:35:28,13275250688
2024-05-29 11:35:30,13266526208
2024-05-29 11:35:32,13263835136
2024-05-29 11:35:34,13265756160
2024-05-29 11:35:36,13264715776
2024-05-29 11:35:38,13255704576
2024-05-29 11:35:40,13257195520
2024-05-29 11:35:42,13252911104
2024-05-29 11:35:44,13259415552
2024-05-29 11:35:46,13261152256
2024-05-29 11:35:48,13259513856
2024-05-29 11:35:50,13262209024
2024-05-29 11:35:52,13264216064
2024-05-29 11:35:54,13262127104
2024-05-29 11:35:56,13264306176
2024-05-29 11:35:58,13257863168
2024-05-29 11:36:00,13254369280
2024-05-29 11:36:02,13249679360
2024-05-29 11:36:04,13251678208
2024-05-29 11:36:06,13255663616
2024-05-29 11:36:08,13253804032
2024-05-29 11:36:10,13248942080
2024-05-29 11:36:12,13249306624
2024-05-29 11:36:14,13250174976
2024-05-29 11:36:16,13252001792
2024-05-29 11:36:18,13254840320
2024-05-29 11:36:20,13261090816
2024-05-29 11:36:22,13264093184
2024-05-29 11:36:24,13267156992
2024-05-29 11:36:26,13259423744
2024-05-29 11:36:28,13262532608
2024-05-29 11:36:30,13272129536
2024-05-29 11:36:32,13267202048
2024-05-29 11:36:34,13268320256
2024-05-29 11:36:36,13265711104
2024-05-29 11:36:38,13264605184
2024-05-29 11:36:40,13267582976
2024-05-29 11:36:42,13267111936
2024-05-29 11:36:44,13274087424
2024-05-29 11:36:46,13276258304
2024-05-29 11:36:48,13273468928
2024-05-29 11:36:50,13277519872
2024-05-29 11:36:52,13281095680
2024-05-29 11:36:54,13273092096
2024-05-29 11:36:56,13276700672
2024-05-29 11:36:58,13268570112
2024-05-29 11:37:00,13268652032
2024-05-29 11:37:02,13270106112
2024-05-29 11:37:04,13269766144
2024-05-29 11:37:06,13266313216
2024-05-29 11:37:08,13266165760
2024-05-29 11:37:10,13265268736
2024-05-29 11:37:12,13270667264
2024-05-29 11:37:14,13273296896
2024-05-29 11:37:16,13272010752
2024-05-29 11:37:18,13160710144
2024-05-29 11:37:20,13159833600
2024-05-29 11:37:22,13158703104
2024-05-29 11:37:24,13046829056
2024-05-29 11:37:26,13051355136
2024-05-29 11:37:28,13054758912
2024-05-29 11:37:30,13058273280
2024-05-29 11:37:32,13060493312
2024-05-29 11:37:34,13059055616
2024-05-29 11:37:36,13055385600
2024-05-29 11:37:38,13054947328
2024-05-29 11:37:40,13054877696
2024-05-29 11:37:42,13053419520
2024-05-29 11:37:44,13051310080
2024-05-29 11:37:46,13043068928
2024-05-29 11:37:48,13039812608
2024-05-29 11:37:50,13029699584
2024-05-29 11:37:52,13023281152
2024-05-29 11:37:54,13022363648
2024-05-29 11:37:56,13018816512
2024-05-29 11:37:58,13023739904
2024-05-29 11:38:00,13018263552
2024-05-29 11:38:02,13015941120
2024-05-29 11:38:04,13017206784
2024-05-29 11:38:06,13018046464
2024-05-29 11:38:08,13016809472
2024-05-29 11:38:10,13016543232
2024-05-29 11:38:12,13010919424
2024-05-29 11:38:14,13008027648
2024-05-29 11:38:16,13002940416
2024-05-29 11:38:18,12845694976
2024-05-29 11:38:20,12844507136
2024-05-29 11:38:22,12808318976
2024-05-29 11:38:24,12739579904
2024-05-29 11:38:26,12721954816
2024-05-29 11:38:28,12724396032
2024-05-29 11:38:30,12722159616
2024-05-29 11:38:32,12723896320
2024-05-29 11:38:34,12719292416
2024-05-29 11:38:36,12725370880
2024-05-29 11:38:38,12725424128
2024-05-29 11:38:40,12723724288
2024-05-29 11:38:42,12727488512
2024-05-29 11:38:44,12725239808
2024-05-29 11:38:46,12722282496
2024-05-29 11:38:48,12724199424
2024-05-29 11:38:50,12728819712
2024-05-29 11:38:52,12723007488
2024-05-29 11:38:54,12722462720
2024-05-29 11:38:56,12722593792
2024-05-29 11:38:58,12722688000
2024-05-29 11:39:00,12725030912
2024-05-29 11:39:02,12726874112
2024-05-29 11:39:04,12732452864
2024-05-29 11:39:06,12728197120
2024-05-29 11:39:08,12728561664
2024-05-29 11:39:10,12721160192
2024-05-29 11:39:12,12723707904
2024-05-29 11:39:14,12724342784
2024-05-29 11:39:16,12729372672
2024-05-29 11:39:18,12729438208
2024-05-29 11:39:20,12729856000
2024-05-29 11:39:22,12735803392
2024-05-29 11:39:24,12738084864
2024-05-29 11:39:26,12738158592
2024-05-29 11:39:28,12732977152
2024-05-29 11:39:30,12723089408
2024-05-29 11:39:32,12719665152
2024-05-29 11:39:34,12720439296
2024-05-29 11:39:36,12711288832
2024-05-29 11:39:38,12708823040
2024-05-29 11:39:40,12709937152
2024-05-29 11:39:42,12714799104
2024-05-29 11:39:44,12713635840
2024-05-29 11:39:46,12716060672
2024-05-29 11:39:48,12712386560
2024-05-29 11:39:50,12709060608
2024-05-29 11:39:52,12716679168
2024-05-29 11:39:54,12721025024
2024-05-29 11:39:56,12721156096
2024-05-29 11:39:58,12719452160
2024-05-29 11:40:00,12717604864
2024-05-29 11:40:02,12710354944
2024-05-29 11:40:04,12711063552
2024-05-29 11:40:06,12710772736
2024-05-29 11:40:08,12707475456
2024-05-29 11:40:10,12696969216
2024-05-29 11:40:12,12691795968
2024-05-29 11:40:14,12693671936
2024-05-29 11:40:16,12693807104
2024-05-29 11:40:18,12694515712
2024-05-29 11:40:20,12708474880
2024-05-29 11:40:22,12703436800
2024-05-29 11:40:24,12709150720
2024-05-29 11:40:26,12704854016
2024-05-29 11:40:28,12708171776
2024-05-29 11:40:30,12707176448
2024-05-29 11:40:32,12710834176
2024-05-29 11:40:34,12715728896
2024-05-29 11:40:36,12714950656
2024-05-29 11:40:38,12712468480
2024-05-29 11:40:40,12718772224
2024-05-29 11:40:42,12715495424
2024-05-29 11:40:44,12711546880
2024-05-29 11:40:46,12711485440
2024-05-29 11:40:48,12716011520
2024-05-29 11:40:50,12717056000
2024-05-29 11:40:52,12722065408
2024-05-29 11:40:54,12721311744
2024-05-29 11:40:56,12716597248
2024-05-29 11:40:58,12725211136
2024-05-29 11:41:00,12723056640
2024-05-29 11:41:02,12724244480
2024-05-29 11:41:04,12722839552
2024-05-29 11:41:06,12723683328
2024-05-29 11:41:08,12722921472
2024-05-29 11:41:10,12722765824
2024-05-29 11:41:12,12715986944
2024-05-29 11:41:14,12713549824
2024-05-29 11:41:16,12716044288
2024-05-29 11:41:18,12715098112
2024-05-29 11:41:20,12716187648
2024-05-29 11:41:22,12717797376
