"Time","sum (container_memory_working_set_bytes{id!=""/"",pod_name=~""^()()().*$"",kubernetes_io_hostname=~""^.*$""}) by (pod_name)"
2024-05-31 12:02:32,13515132928
2024-05-31 12:02:34,13516673024
2024-05-31 12:02:36,13522096128
2024-05-31 12:02:38,13521399808
2024-05-31 12:02:40,13523927040
2024-05-31 12:02:42,13528641536
2024-05-31 12:02:44,13529481216
2024-05-31 12:02:46,13535490048
2024-05-31 12:02:48,13548306432
2024-05-31 12:02:50,13555712000
2024-05-31 12:02:52,13560369152
2024-05-31 12:02:54,13570039808
2024-05-31 12:02:56,13562155008
2024-05-31 12:02:58,13579210752
2024-05-31 12:03:00,13584674816
2024-05-31 12:03:02,13592457216
2024-05-31 12:03:04,13599387648
2024-05-31 12:03:06,13599834112
2024-05-31 12:03:08,13612212224
2024-05-31 12:03:10,13623492608
2024-05-31 12:03:12,13624815616
2024-05-31 12:03:14,13625827328
2024-05-31 12:03:16,13627240448
2024-05-31 12:03:18,13634715648
2024-05-31 12:03:20,13633138688
2024-05-31 12:03:22,13622095872
2024-05-31 12:03:24,13615730688
2024-05-31 12:03:26,13616664576
2024-05-31 12:03:28,13625499648
2024-05-31 12:03:30,13632446464
2024-05-31 12:03:32,13643284480
2024-05-31 12:03:34,13654261760
2024-05-31 12:03:36,13657214976
2024-05-31 12:03:38,13670617088
2024-05-31 12:03:40,13673328640
2024-05-31 12:03:42,13678870528
2024-05-31 12:03:44,13685813248
2024-05-31 12:03:46,13690957824
2024-05-31 12:03:48,13701054464
2024-05-31 12:03:50,13710258176
2024-05-31 12:03:52,13705883648
2024-05-31 12:03:54,13714501632
2024-05-31 12:03:56,13713141760
2024-05-31 12:03:58,13716369408
2024-05-31 12:04:00,13724688384
2024-05-31 12:04:02,13728800768
2024-05-31 12:04:04,13734322176
2024-05-31 12:04:06,13737897984
2024-05-31 12:04:08,13743697920
2024-05-31 12:04:10,13746638848
2024-05-31 12:04:12,13750218752
2024-05-31 12:04:14,13752156160
2024-05-31 12:04:16,13753905152
2024-05-31 12:04:18,13765521408
2024-05-31 12:04:20,13756063744
2024-05-31 12:04:22,13713096704
2024-05-31 12:04:24,13714399232
2024-05-31 12:04:26,13708410880
2024-05-31 12:04:28,13628801024
2024-05-31 12:04:30,13633818624
2024-05-31 12:04:32,13641728000
2024-05-31 12:04:34,13648338944
2024-05-31 12:04:36,13655552000
2024-05-31 12:04:38,13657870336
2024-05-31 12:04:40,13631221760
2024-05-31 12:04:42,13637234688
2024-05-31 12:04:44,13640527872
2024-05-31 12:04:46,13650812928
2024-05-31 12:04:48,13671485440
2024-05-31 12:04:50,13678153728
2024-05-31 12:04:52,13675655168
2024-05-31 12:04:54,13678448640
2024-05-31 12:04:56,13683376128
2024-05-31 12:04:58,13696905216
2024-05-31 12:05:00,13707325440
2024-05-31 12:05:02,13710106624
2024-05-31 12:05:04,13714182144
2024-05-31 12:05:06,13717770240
2024-05-31 12:05:08,13694251008
2024-05-31 12:05:10,13678592000
2024-05-31 12:05:12,13663346688
2024-05-31 12:05:14,13649575936
2024-05-31 12:05:16,13635751936
2024-05-31 12:05:18,13620969472
2024-05-31 12:05:20,13617455104
2024-05-31 12:05:22,13611257856
2024-05-31 12:05:24,13569425408
2024-05-31 12:05:26,13569069056
2024-05-31 12:05:28,13569302528
2024-05-31 12:05:30,13571006464
2024-05-31 12:05:32,13577752576
2024-05-31 12:05:34,13487464448
2024-05-31 12:05:36,13488119808
2024-05-31 12:05:38,13457260544
2024-05-31 12:05:40,13455507456
2024-05-31 12:05:42,13442183168
2024-05-31 12:05:44,13333364736
2024-05-31 12:05:46,13335097344
2024-05-31 12:05:48,13315604480
2024-05-31 12:05:50,13293461504
2024-05-31 12:05:52,13292900352
2024-05-31 12:05:54,13230977024
2024-05-31 12:05:56,13071896576
2024-05-31 12:05:58,13069455360
2024-05-31 12:06:00,13075173376
2024-05-31 12:06:02,13080780800
2024-05-31 12:06:04,13089202176
2024-05-31 12:06:06,12990078976
2024-05-31 12:06:08,12991676416
2024-05-31 12:06:10,12947066880
2024-05-31 12:06:12,12945965056
2024-05-31 12:06:14,12938559488
2024-05-31 12:06:16,12941275136
2024-05-31 12:06:18,12893335552
2024-05-31 12:06:20,12874993664
2024-05-31 12:06:22,12808646656
2024-05-31 12:06:24,12735152128
2024-05-31 12:06:26,12568948736
