"Time","adservice-66cdf5d799-5lhlj","adservice-6b4979fd86-tnxvz","cartservice-594d56988-9w8kn","cartservice-88fdf8db5-2wr56","checkoutservice-678cdcb74b-xcwsn","checkoutservice-77bcb7ccc7-f46zn","currencyservice-65f5c47df6-rp4vg","currencyservice-84f9ccd67-rjh2b","emailservice-57d8c6575f-q74jx","emailservice-f56d9cccb-zbwv5","frontend-544d59f594-bp5hp","frontend-6b49fbfbff-4b47z","loadgenerator-64d987f766-wkpjd","loadgenerator-7c6fb64488-2t28g","loadgenerator-7c6fb64488-9r298","paymentservice-584488cb95-kxs6t","paymentservice-dc6c9d6c6-87r24","productcatalogservice-5f999d9577-m9flc","productcatalogservice-68f4dbd84b-7jjgx","recommendationservice-564896d75f-4djl7","recommendationservice-6d849b6d76-z796t","redis-cart-7fc544db85-mk6rh","redis-cart-855b76d469-trkq5","shippingservice-5cb69d4cbd-bmprb","shippingservice-79d4cfc86c-8h4z5"
2024-05-31 12:00:45,28.3,108,1.95,145,25.2,112,11.5,152,11.2,318,110,,1427,,,139,,,140,320,,64.8,,,197
2024-05-31 12:00:50,34.8,107,2.33,145,31.1,112,12.8,144,9.93,305,110,27.3,1427,,,143,,,140,320,,63.7,15.4,,199
2024-05-31 12:00:55,30.3,106,2.72,145,37.0,110,15.2,141,25.1,299,109,34.8,1459,,,143,,,140,318,,62.5,18.6,,199
2024-05-31 12:01:00,35.0,106,9.50,145,35.2,108,13.7,139,29.1,291,105,30.3,1529,,,143,1.23,,137,318,,60.7,18.4,,201
2024-05-31 12:01:05,39.7,106,10.8,140,40.1,108,13.7,138,33.2,286,103,33.1,1529,,,139,1.46,8.43,131,318,,59.6,21.1,,195
2024-05-31 12:01:10,40.8,106,13.2,137,44.9,106,23.4,135,40.7,281,103,38.1,1592,,,136,1.70,10.8,129,306,,58.4,23.7,,191
2024-05-31 12:01:15,45.2,102,14.6,135,40.0,104,25.9,134,45.2,278,101,43.1,1668,,,134,10.7,10.6,127,322,7.11,57.5,19.9,12.3,188
2024-05-31 12:01:20,49.5,100,16.5,132,43.9,100,28.4,131,49.6,273,98.9,35.9,1761,,,132,12.1,12.5,124,322,9.18,56.4,21.9,16.0,185
2024-05-31 12:01:25,43.8,98.7,18.0,130,47.0,98.3,26.2,124,44.5,268,98.9,39.6,1775,,,130,13.6,14.4,123,322,17.7,56.2,23.9,19.6,182
2024-05-31 12:01:30,52.6,94.9,32.5,127,50.9,96.3,28.3,127,63.3,260,97.0,43.3,1775,,,127,15.1,12.6,121,297,21.0,55.1,23.7,24.1,178
2024-05-31 12:01:35,56.6,96.9,35.0,127,54.7,94.5,30.4,124,68.2,255,95.2,47.0,1797,,,125,21.3,27.5,117,302,24.3,53.9,25.5,27.8,175
