i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13
4069,10281,12218101760,482,686,421,1129,345,26275,2180.0,1725.0,216,4276,826,320.0,397,39277,0.00269,0.00531,0.000934,0.0149,0.00216,0.00795,0.0127,0.00265,0.00226,0.0023,0.00287,0.00291,0.00113,0.00506,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
4253,10281,12254957568,482,1238,408,1129,345,26275,2263.0,1711.0,216,4476,826,320.0,397,40085,0.00323,0.00551,0.00168,0.0149,0.00216,0.00795,0.0132,0.00263,0.00226,0.0023,0.00545,0.00291,0.00113,0.00544,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
4437,10281,12625747968,503,1238,405,1093,396,26275,2347.0,1696.0,216,4476,826,320.0,397,40189,0.0033,0.00551,0.00168,0.0149,0.00216,0.00837,0.0136,0.0026,0.00226,0.00473,0.00545,0.00291,0.00113,0.00572,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3462,10510,12698419200,503,1301,1085,2525,396,26275,2431.0,1682.0,211,4476,826,320.0,408,42439,0.0033,0.00551,0.00168,0.0246,0.00211,0.0165,0.0158,0.00262,0.0023,0.00476,0.00562,0.00293,0.00113,0.00741,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3092,10510,12924358656,503,1301,1110,2525,396,26275,2515.0,1667.0,213,8830,845,320.0,408,46909,0.0033,0.00533,0.00173,0.0246,0.00219,0.0165,0.0163,0.00259,0.00351,0.00491,0.00562,0.00293,0.00113,0.00756,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3210,10325,12941828096,503,1301,1149,2525,396,26275,2599.0,1653.0,220,8830,1384,320.0,646,47802,0.0033,0.0111,0.00173,0.0246,0.00219,0.0165,0.0169,0.00257,0.00362,0.00491,0.00562,0.00293,0.00178,0.00815,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3328,10325,12975251456,774,1301,1149,2525,401,44956,2682.0,1600.0,220,8830,1384,333.0,646,66802,0.0033,0.0111,0.00173,0.0257,0.00219,0.0165,0.0174,0.00255,0.00362,0.00491,0.00562,0.00293,0.00184,0.00829,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3446,10249,12987715584,774,1992,1149,2525,433,46260,3777.0,1655.0,220,9087,1384,520.0,646,70423,0.0033,0.0111,0.00173,0.0257,0.00261,0.0165,0.018,0.00253,0.00362,0.00695,0.00562,0.00316,0.00184,0.00856,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3564,10249,12996739072,774,1992,1646,2525,433,47833,3891.0,1640.0,213,9393,1384,520.0,646,72891,0.0033,0.0117,0.00291,0.0257,0.00261,0.0165,0.0185,0.00251,0.00362,0.00695,0.00562,0.00316,0.00184,0.00874,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
3682,10496,13026279424,774,1992,1646,3568,433,47833,4005.0,1626.0,289,9393,1384,520.0,646,74110,0.00326,0.0117,0.00296,0.0257,0.00261,0.0165,0.0191,0.00248,0.00362,0.00695,0.0056,0.00319,0.00184,0.00879,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
