i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_pod-pod-14,network_outgoing_pod-pod-15,network_outgoing_pod-pod-16,network_outgoing_pod-pod-17,network_outgoing_pod-pod-18,network_outgoing_pod-pod-19,network_outgoing_pod-pod-20,network_outgoing_pod-pod-21,network_outgoing_pod-pod-22,network_outgoing_pod-pod-23,network_outgoing_pod-pod-24,network_outgoing_pod-pod-25,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_pod-pod-14,cpu_pod-pod-15,cpu_pod-pod-16,cpu_pod-pod-17,cpu_pod-pod-18,cpu_pod-pod-19,cpu_pod-pod-20,cpu_pod-pod-21,cpu_pod-pod-22,cpu_pod-pod-23,cpu_pod-pod-24,cpu_pod-pod-25,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13,pod-restart-count-pod-14,pod-restart-count-pod-15,pod-restart-count-pod-16,pod-restart-count-pod-17,pod-restart-count-pod-18,pod-restart-count-pod-19,pod-restart-count-pod-20,pod-restart-count-pod-21,pod-restart-count-pod-22,pod-restart-count-pod-23,pod-restart-count-pod-24,pod-restart-count-pod-25
7545,0,13071523840,111,41.7,113,38.8,20.7,121,38.7,122,244,88.0,29.0,233,489.0,4.38,9.16,36.0,117,113,23.1,242,89.0,17.1,72.3,45.5,150,2608,0.0205,0.00131,0.0115,0.00214,4.22e-05,0.000352,0.000199,0.00452,0.00397,0.000363,5.85e-05,0.0005,0.00581,0.00649,0.000495,0.000166,0.00277,0.000316,4.65e-05,0.0039,0.000398,0.000419,0.00202,7.86e-05,0.000387,0.00572,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
7569,0,13068718080,112,40.9,114,37.7,19.9,122,42.4,123,246,85.8,28.3,457,489.0,4.38,9.16,35.0,118,114,22.4,244,86.6,16.6,72.9,44.2,159,2844,0.0206,0.00129,0.0115,0.00153,4.08e-05,0.000343,0.000195,0.00456,0.00401,0.000352,5.7e-05,0.000504,0.00581,0.00704,0.000486,0.000162,0.00279,0.000318,4.51e-05,0.00393,0.000318,0.00041,0.00204,7.61e-05,0.000391,0.00574,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
7594,0,13070958592,113,39.0,115,36.7,19.2,123,41.3,124,249,83.7,27.5,461,489.0,176.0,9.16,34.0,119,115,21.7,246,84.5,16.1,73.5,42.9,160,3018,0.0208,0.00126,0.0116,0.00175,3.95e-05,0.000347,0.000191,0.0046,0.00384,0.000341,4.47e-05,0.000508,0.00581,0.0076,0.00025,0.000158,0.00281,0.000321,4.72e-05,0.00396,0.000318,0.000395,0.00206,7.36e-05,0.000394,0.0058,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
7618,0,13072769024,124,42.2,146,35.7,18.4,121,40.2,125,251,81.5,27.3,465,489.0,187.0,9.79,34.5,120,116,20.9,248,82.4,15.6,74.1,41.6,161,3077,0.021,0.00124,0.0117,0.0017,3.81e-05,0.000349,0.000187,0.00464,0.00387,0.000265,5.06e-05,0.000512,0.00581,0.00815,0.000245,0.000153,0.00283,0.000324,4.56e-05,0.004,0.000363,0.000379,0.00208,7.11e-05,0.000397,0.00587,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
7626,0,13083889664,125,41.3,147,34.6,17.7,122,39.2,188,253,79.3,26.6,468,489.0,199.0,9.61,33.5,121,117,20.2,250,80.4,15.1,74.7,44.9,163,3159,0.0208,0.00121,0.0118,0.00165,3.67e-05,0.000352,0.000185,0.00577,0.0039,0.0003,4.92e-05,0.00124,0.00581,0.00527,0.00024,0.000149,0.00286,0.000596,4.41e-05,0.00386,0.000351,0.000364,0.00201,6.24e-05,0.0004,0.00578,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
7651,0,13091373056,126,40.4,149,33.6,16.9,123,38.1,190,245,77.1,25.8,472,489.0,211.0,9.43,32.5,121,118,20.2,252,78.3,14.6,75.3,43.5,164,3165,0.0209,0.00119,0.0119,0.0016,3.6e-05,0.000355,0.00018,0.00582,0.00394,0.00029,4.78e-05,0.00125,0.00581,0.0056,0.000235,0.000144,0.00288,0.000601,4.26e-05,0.00386,0.000339,0.000349,0.00212,7.36e-05,0.000403,0.00583,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
7675,0,13091799040,127,39.5,150,36.4,16.1,124,37.0,191,245,75.0,25.1,476,489.0,222.0,9.25,31.5,124,119,19.4,329,76.2,14.2,89.3,42.0,165,3272,0.0211,0.00116,0.0145,0.00155,3.46e-05,0.000358,0.000176,0.00587,0.00397,0.00028,4.65e-05,0.00126,0.00581,0.00593,0.00023,0.000145,0.00276,0.000605,4.11e-05,0.00416,0.000327,0.000334,0.00214,7.07e-05,0.000407,0.0061,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
7540,0,13089673216,128,38.6,151,35.3,15.4,124,36.0,193,255,72.8,24.3,480,489.0,234.0,9.08,30.4,125,115,18.7,331,74.1,13.7,90.1,40.6,166,3291,0.0212,0.00114,0.0146,0.0015,3.32e-05,0.000361,0.000172,0.00592,0.00388,0.00027,4.51e-05,0.00127,0.00581,0.00627,0.000225,0.000141,0.00278,0.00061,3.96e-05,0.00419,0.000315,0.000319,0.00216,6.79e-05,0.000457,0.00615,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
7563,0,13092663296,129,37.7,152,34.1,10.0,125,34.9,194,257,67.7,23.5,483,489.0,246.0,8.9,29.4,126,846,17.9,334,72.1,14.0,90.8,39.1,168,4030,0.0214,0.00111,0.0147,0.00144,3.18e-05,0.000363,0.000168,0.00597,0.00391,0.00026,4.37e-05,0.00128,0.00581,0.0066,0.000221,0.000136,0.0028,0.000615,2.88e-05,0.00423,0.000304,0.000304,0.00217,6.51e-05,0.00046,0.0062,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
9505,0,13085618176,152,36.8,153,33.0,9.51,126,37.3,196,259,65.6,25.3,3991,489.0,257.0,8.72,24.7,127,853,17.2,337,73.2,13.5,91.5,37.7,198,7612,0.0216,0.00109,0.0148,0.00139,3.04e-05,0.000403,0.000163,0.00601,0.00395,0.000249,4.24e-05,0.00129,0.00581,0.00693,0.000191,0.000132,0.00282,0.0012,2.77e-05,0.00426,0.000292,0.000289,0.00219,6.23e-05,0.000464,0.00631,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
9524,0,13088944128,153,35.9,154,31.8,8.99,170,36.1,197,261,63.5,24.4,4022,489.0,213.0,8.54,23.9,128,859,16.4,339,71.0,13.0,92.2,36.2,199,7649,0.0223,0.00106,0.0149,0.00134,2.37e-05,0.000406,0.00015,0.0111,0.00398,0.000239,4.1e-05,0.0013,0.00581,0.00726,0.000191,0.000127,0.00284,0.00121,2.65e-05,0.00429,0.00028,0.000212,0.00221,5.95e-05,0.000468,0.00682,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
11481,0,13087113216,154,29.6,156,30.7,8.46,172,34.9,199,263,61.5,23.6,4053,489.0,213.0,9.68,23.0,129,866,15.6,342,68.9,12.5,92.9,26.6,201,7674,0.0225,0.00104,0.0151,0.00117,2.26e-05,0.000409,0.000146,0.0112,0.00401,0.00016,3.96e-05,0.00131,0.00581,0.00759,0.00021,0.000135,0.00296,0.00122,2.54e-05,0.00433,0.000257,0.000263,0.00223,5.67e-05,0.000471,0.00688,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
11534,0,13097287680,155,28.9,376,29.5,7.94,173,33.8,456,265,59.4,22.7,4084,489.0,753.0,9.47,22.1,130,873,7.07,486,66.7,12.0,93.6,31.4,203,8866,0.0226,0.00104,0.0171,0.00138,2.14e-05,0.000412,0.000142,0.0113,0.00404,0.00016,3.69e-05,0.00384,0.00581,0.00672,0.000205,0.00013,0.00298,0.00123,2.43e-05,0.00436,0.000245,0.000247,0.00224,5.39e-05,0.000475,0.00723,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
11587,0,13033762816,157,28.1,379,32.4,7.42,174,32.6,459,267,57.3,21.9,4115,489.0,783.0,9.27,21.2,132,879,7.07,489,64.6,6.8,160.0,30.0,204,9007,0.0228,0.00102,0.0172,0.00132,2.03e-05,0.000415,0.000138,0.0114,0.00407,0.000188,3.55e-05,0.00387,0.00581,0.007,0.0002,0.000125,0.003,0.00123,2.31e-05,0.00425,0.000234,0.000232,0.00226,3.68e-05,0.000478,0.00728,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
11557,0,13033902080,158,27.3,382,31.1,6.9,175,31.4,463,269,49.8,21.1,4146,489.0,813.0,9.06,20.4,133,886,8.99,493,62.4,6.51,161.0,28.7,206,9077,0.023,0.00099,0.0173,0.00127,1.92e-05,0.000487,0.000134,0.0114,0.00399,0.000179,3.42e-05,0.0039,0.00581,0.00728,0.000195,0.00012,0.00302,0.00124,2.38e-05,0.00425,0.000223,0.000216,0.00219,4.63e-05,0.000482,0.00732,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
11530,0,13010030592,159,26.6,384,29.8,6.37,177,29.4,466,261,57.5,20.2,4176,489.0,843.0,8.86,27.5,134,893,8.47,497,63.2,6.21,162.0,27.3,207,9161,0.0232,0.000964,0.0175,0.00121,1.8e-05,0.000491,0.00013,0.0115,0.00401,0.00017,3.29e-05,0.00392,0.00581,0.00756,0.00019,0.000115,0.00305,0.00125,2.26e-05,0.00425,0.000211,0.0002,0.00238,4.35e-05,0.000647,0.0074,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
11470,0,13012004864,206,25.8,387,28.5,,178,28.3,470,282,55.3,19.4,4207,489.0,873.0,8.65,26.3,135,899,7.95,500,60.9,5.91,164.0,25.9,209,9293,0.0233,0.000939,0.0176,0.00115,1.66e-05,0.000494,0.000126,0.0116,0.00404,0.000161,3.15e-05,0.00395,0.00581,0.00784,0.000185,0.00011,0.00307,0.00126,2.14e-05,0.00547,0.0002,0.000184,0.0024,4.08e-05,0.000652,0.00756,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
11521,0,12983078912,207,26.6,390,27.2,,179,27.2,473,284,53.0,19.9,11358,489.0,903.0,9.82,25.0,136,871,7.43,504,58.7,5.62,165.0,24.5,279,16525,0.0235,0.000913,0.0177,0.00109,1.55e-05,0.000498,0.00011,0.0117,0.00407,0.000152,3.02e-05,0.00398,0.00581,0.00812,0.00018,0.00011,0.00309,0.00278,2.03e-05,0.00551,0.000122,0.000168,0.00241,3.8e-05,0.000656,0.00773,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
11560,0,12988846080,209,25.8,393,25.9,,262,26.0,477,286,50.8,19.0,11441,489.0,933.0,9.82,23.8,137,3192,6.91,708,56.4,5.32,166.0,23.2,281,19246,0.0229,0.000887,0.0178,0.00104,1.44e-05,0.000502,0.000122,0.0114,0.0041,0.000142,2.89e-05,0.00679,0.00581,0.0084,0.000178,0.000105,0.00311,0.0028,1.91e-05,0.00555,0.000122,,0.00243,3.53e-05,0.000661,0.00792,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
11601,0,12989300736,210,25.0,396,34.7,,263,24.9,480,288,48.5,18.0,11523,489.0,963.0,10.8,22.6,138,3215,6.39,713,54.2,5.02,167.0,18.6,283,19399,0.025,0.000862,0.0191,0.000979,1.33e-05,0.000505,0.000118,0.0214,0.00413,0.00014,2.76e-05,0.00684,0.00581,0.00868,0.000173,9.95e-05,0.00313,0.00282,1.79e-05,0.00559,0.000155,,0.00245,3.26e-05,0.000666,0.00906,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
11506,0,12989693952,212,24.2,385,32.9,,265,23.7,468,291,46.3,17.1,11606,489.0,1441.0,10.5,21.4,144,3238,5.87,718,51.9,4.73,168.0,18.6,285,19968,0.0252,0.000866,0.0193,0.000881,1.22e-05,0.000509,0.000114,0.0215,0.00409,0.00013,2.62e-05,0.00689,0.00581,0.00896,0.000168,9.43e-05,0.0033,0.00284,,0.00563,0.000144,,0.00247,2.98e-05,0.000671,0.00913,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
11442,0,12993241088,213,23.4,798,31.1,,267,22.6,468,293,44.0,16.2,11688,489.0,1485.0,10.3,20.1,145,3261,5.35,723,49.6,4.43,164.0,18.6,287,20528,0.0253,0.000839,0.0194,0.00108,,0.000632,0.00011,0.0217,0.00412,0.000121,3.1e-05,0.00694,0.00581,0.00921,0.000163,8.9e-05,0.00333,0.00286,,0.00568,0.000133,,0.00248,,0.000836,0.00924,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
11404,0,13001252864,215,22.6,803,29.3,,269,21.4,1030,295,41.7,15.3,11771,489.0,1529.0,9.99,18.9,146,3285,,728,47.4,,164.0,22.4,289,21242,0.0255,0.000813,0.0195,0.00101,,0.000636,0.000105,0.0218,0.00415,0.000111,2.94e-05,0.00699,0.00581,0.00949,0.000158,8.38e-05,0.00336,0.00288,,0.00572,0.000122,,0.0025,,0.000842,0.00931,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
11452,0,13021163520,216,21.8,809,27.5,,271,9.68,1037,297,43.5,14.4,11854,489.0,1572.0,9.71,17.7,147,3308,,734,46.0,,289.0,20.6,291,21524,0.0257,0.000786,0.0197,0.000933,,0.000657,0.000101,0.022,0.00418,0.000101,2.79e-05,0.00704,0.00581,0.00977,0.000153,8.43e-05,0.00338,0.0029,,0.00576,0.000111,,0.00265,,0.000848,0.00939,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
11500,0,13019308032,295,21.0,815,25.7,,273,9.68,1044,289,41.0,13.5,11936,489.0,1616.0,9.43,,148,4977,,739,43.8,,291.0,18.7,293,23387,0.0259,0.00076,0.0198,0.000859,,0.000657,9.71e-05,0.0222,0.00421,9.12e-05,2.63e-05,0.00709,0.00581,0.01,0.000156,7.88e-05,0.0034,0.00292,,0.00558,9.96e-05,,0.00266,,0.000879,0.00944,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
11549,0,13022351360,297,15.1,820,23.9,,275,12.5,1051,311,38.4,12.5,12019,489.0,1660.0,9.16,,149,5011,,744,41.5,,293.0,16.9,286,23576,0.0261,0.000733,0.02,0.000785,,0.000657,9.57e-05,0.0223,0.00424,8.14e-05,2.47e-05,0.00997,0.00581,0.0103,0.00015,7.32e-05,0.00342,0.00285,,0.00742,,,0.00268,,0.000879,0.00988,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
11597,0,13018779648,299,18.0,826,,,268,11.6,1058,313,35.9,11.6,11669,489.0,1703.0,8.88,,150,5046,,1002,39.2,,295.0,15.0,286,23546,0.0262,0.000707,0.0201,0.000711,,0.000657,9.14e-05,0.0225,0.00427,,2.31e-05,0.01,0.00581,0.011,0.000145,6.77e-05,0.00345,0.00471,,0.00747,,,0.0027,,0.000879,0.0101,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
11691,0,13013762048,301,17.2,831,,,268,10.8,1066,315,33.4,,23583,489.0,1747.0,5.35,,151,5081,,1009,37.0,,297.0,,399,35642,0.0277,0.000468,0.0219,,,0.000787,8.72e-05,0.0219,0.00421,,,0.0101,0.00581,0.0113,0.00014,6.21e-05,0.00345,0.00475,,0.00752,,,0.00272,,0.000879,0.0103,0.0,0,0.0,0.0,0,0,0.0,0,0.0,,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
11687,0,13011140608,303,16.4,837,,,394,9.97,1073,317,30.9,,23743,489.0,1791.0,6.1,,147,5115,,1016,34.7,,299.0,,402,36026,0.0279,0.000468,0.0221,,,0.000787,8.29e-05,0.0319,0.00424,,,0.0102,0.00581,0.0116,0.000134,5.66e-05,0.00345,0.00478,,0.00758,,,0.00274,,0.00112,0.0112,0.0,0,0.0,0.0,0,0,0.0,0,0.0,,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0
11549,0,13017788416,298,15.7,845,,,385,9.13,1512,320,28.4,,23903,489.0,2352.0,5.89,,163,5150,,1023,32.4,,301.0,,405,37238,0.0136,0.000558,0.0222,,,0.000787,7.86e-05,0.0322,0.00427,,,0.0102,0.00581,0.0119,0.000129,,0.00333,0.00479,,0.00763,,,0.00276,,0.00112,0.0101,0.0,0,0.0,,0,0,0.0,0,0.0,,0,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0.0,0.0,0
11441,0,13006995456,298,14.9,1306,,,399,8.3,1523,322,,,24099,489.0,2408.0,5.68,,164,5185,,1030,30.2,,303.0,,407,37992,0.014,0.000534,0.0224,,,0.000787,3.81e-05,0.0324,0.0043,,,0.0103,0.00581,0.0122,0.000119,,0.00367,0.00479,,0.00768,,,0.00286,,0.00112,0.0102,0.0,0,0.0,,0,0,0.0,0,0.0,,0,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0.0,0.0,0
11440,0,12907081728,298,14.2,1315,,,399,7.47,1534,324,,,24270,489.0,2464.0,5.48,,165,5237,,1303,,,295.0,,410,38530,0.014,0.00051,0.0214,,,0.000682,3.81e-05,0.0326,0.00431,,,0.0103,0.00581,0.0132,0.000114,,0.00198,0.00631,,0.00773,,,0.00286,,0.00112,0.0103,0.0,0,0.0,,0,0,0.0,0,0.0,,0,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0.0,0.0,0
11453,0,12896976896,394,13.4,1324,,,399,,1545,333,,,24441,489.0,2520.0,5.27,,166,5274,,1312,,,480.0,,413,39108,0.014,0.000486,0.0214,,,0.000682,3.81e-05,0.0329,0.00431,,,0.0151,0.00581,0.0135,0.000109,,0.00205,0.00635,,0.00778,,,0.00286,,0.00112,0.0107,0.0,0,0.0,,0,0,0.0,0,0.0,,0,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0.0,,0
11440,0,12859527168,394,12.6,1333,,,399,,1555,335,,,24612,489.0,2576.0,5.07,,167,8598,,1321,,,483.0,,416,42697,0.0155,0.000462,0.0234,,,0.000682,4.82e-05,0.0331,0.00168,,,0.0152,0.00581,0.0139,0.000103,,0.00205,0.00639,,0.00955,,,0.00282,,0.00107,0.011,0.0,0,0.0,,0,0,0.0,0,0.0,,0,0.0,0,0,0.0,0.0,0,0.0,0,0,,0,0.0,,0
