i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_pod-pod-14,network_outgoing_pod-pod-15,network_outgoing_pod-pod-16,network_outgoing_pod-pod-17,network_outgoing_pod-pod-18,network_outgoing_pod-pod-19,network_outgoing_pod-pod-20,network_outgoing_pod-pod-21,network_outgoing_pod-pod-22,network_outgoing_pod-pod-23,network_outgoing_pod-pod-24,network_outgoing_pod-pod-25,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_pod-pod-14,cpu_pod-pod-15,cpu_pod-pod-16,cpu_pod-pod-17,cpu_pod-pod-18,cpu_pod-pod-19,cpu_pod-pod-20,cpu_pod-pod-21,cpu_pod-pod-22,cpu_pod-pod-23,cpu_pod-pod-24,cpu_pod-pod-25,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13,pod-restart-count-pod-14,pod-restart-count-pod-15,pod-restart-count-pod-16,pod-restart-count-pod-17,pod-restart-count-pod-18,pod-restart-count-pod-19,pod-restart-count-pod-20,pod-restart-count-pod-21,pod-restart-count-pod-22,pod-restart-count-pod-23,pod-restart-count-pod-24,pod-restart-count-pod-25
8886,0,12760772608,505,7.57,1382,,,434,,2102,340,,,41888,489.0,3617.0,5.44,,170,8898,,1369,,,490.0,,552,62248,0.0129,0.000298,0.0232,,,0.000757,3.05e-05,0.0425,0.00168,,,0.0197,0.00581,0.017,8.6e-05,,0.00205,0.00815,,0.00741,,,0.00295,,0.00136,0.0122,0.0,0,0.0,,0,0,0.0,0,,,0,0.0,0,0,,,0,,0,0,,0,,,0
8788,0,12762927104,505,,1339,,,434,,2117,339,,,42156,489.0,3688.0,5.17,,170,8958,,1332,,,504.0,,564,62598,0.0129,0.000277,0.0232,,,0.000757,,0.0413,0.00168,,,0.0198,0.00581,0.0173,8.04e-05,,0.00205,0.0084,,0.00741,,,0.00295,,0.00141,0.0121,0.0,0,0.0,,0,0,0.0,0,,,0,0.0,0,0,,,0,,0,0,,0,,,0
8788,0,12769726464,505,,2161,,,434,,2134,339,,,42531,489.0,3759.0,4.89,,170,12312,,1901,,,491.0,,568,67797,0.0156,0.000256,0.0232,,,0.000757,,0.0413,0.00168,,,0.0199,0.00581,0.0177,7.48e-05,,0.00205,0.00846,,0.00741,,,0.00295,,0.00141,0.0124,0.0,0,0.0,,0,0,0.0,0,,,0,0.0,0,0,,,0,,0,0,,0,,,0
8910,0,12768763904,505,,2175,,,434,,2606,339,,,42831,489.0,3829.0,4.61,,170,12398,,1914,,,491.0,,571,68757,0.0156,0.000236,0.0225,,,0.000735,,0.0413,0.00174,,,0.02,0.00581,0.018,6.91e-05,,0.00177,0.00851,,0.00718,,,0.00309,,0.00141,0.0123,0.0,0,0.0,,0,0,0.0,0,,,0,0.0,0,0,,,0,,0,0,,0,,,0
8648,0,12772225024,505,,2191,,,434,,2624,339,,,43131,489.0,3900.0,0.44,,170,12484,,1927,,,774.0,,672,69640,0.0156,0.000215,0.0271,,,0.00073,,0.0478,0.00174,,,0.02,0.00581,0.0184,6.35e-05,,0.00177,0.00856,,0.00743,,,0.00313,,0.00141,0.0133,0.0,0,0.0,,0,0,0.0,0,,,0,0.0,0,0,,,0,,0,0,,0,,,0
8603,0,12774821888,500,,2206,,,584,,2642,340,,,43430,489.0,3971.0,0.44,,170,12570,,1940,,,779.0,,672,70295,0.0156,,0.0271,,,0.00108,,0.0478,0.00174,,,0.0204,0.00581,0.0187,5.79e-05,,0.0021,0.00856,,0.0107,,,0.00313,,0.00141,0.0137,0.0,0,0.0,,0,0,0.0,0,,,0,0.0,0,0,,,0,,0,0,,0,,,0
8603,0,12740669440,504,,2221,,,604,,2659,340,,,60932,489.0,4042.0,0.559,,178,12656,,1952,,,781.0,,672,88032,0.0156,,0.028,,,0.00108,,0.0478,0.00174,,,0.0205,0.00581,0.019,,,0.0021,0.00828,,0.0107,,,0.00313,,0.00183,0.0138,0.0,0,0.0,,0,0,0.0,0,,,0,,0,0,,,0,,0,0,,0,,,0
8603,0,12746719232,649,,2236,,,604,,2677,340,,,61350,489.0,4113.0,0.516,,178,12742,,1952,,,781.0,,672,88785,0.0156,,0.028,,,0.0011,,0.0495,0.00174,,,0.0206,0.00581,0.0194,,,0.0021,0.00823,,0.0107,,,0.00313,,0.00186,0.014,0.0,0,0.0,,0,0,0.0,0,,,0,,0,0,,,0,,0,0,,0,,,0
8603,0,12665372672,654,,2776,,,604,,2700,350,,,61768,489.0,4184.0,0.473,,178,12828,,2293,,,781.0,,672,90277,0.0156,,0.028,,,0.0011,,0.0495,0.00168,,,0.0201,0.00581,0.018,,,0.0021,0.0122,,0.0107,,,0.00313,,0.00187,0.0141,0.0,0,0.0,,0,0,0.0,0,,,0,,0,0,,,0,,0,0,,0,,,0
8538,0,12666527744,658,,2794,,,604,,2719,350,,,62186,489.0,3886.0,0.43,,179,12956,,2309,,,801.0,,696,90629,0.0156,,0.028,,,0.0011,,0.0495,0.00169,,,0.0279,0.00581,0.0223,,,0.0021,0.0122,,0.0107,,,0.00313,,0.00194,0.0152,0.0,0,0.0,,0,0,0.0,0,,,0,,0,0,,,0,,0,0,,0,,,0
