i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod_restart
568.0,29.5,11739336704,346.0,838.0,1025.0,1181.0,379.0,24252.0,2808.0,1964.0,216.0,4379.0,1312.0,346.0,584.0,39630.0,0.0035,0.00605,0.00123,0.00629,0.00205,0.00289,0.00299,0.00953,0.0023,0.00182,0.00208,0.00235,0.000727,0.00365,0.0
576.0,29.5,11893342208,529.0,867.0,1057.0,1181.0,379.0,24252.0,2785.0,2610.0,214.0,4379.0,1312.0,346.0,584.0,40494.0,0.0035,0.00628,0.00123,0.00629,0.00205,0.00751,0.00297,0.0107,0.0023,0.00182,0.00416,0.00235,0.000746,0.00432,0.0
586.0,29.4,11903942656,529.0,867.0,1057.0,2424.0,379.0,24252.0,2808.0,2692.0,214.0,8610.0,1312.0,346.0,584.0,46073.0,0.00357,0.00628,0.00123,0.00629,0.00205,0.00751,0.00295,0.0111,0.0023,0.00182,0.00416,0.00235,0.000746,0.00436,0.0
587.0,29.0,12132016128,529.0,1564.0,1057.0,2424.0,415.0,24252.0,2784.0,2775.0,214.0,8610.0,1312.0,346.0,606.0,46887.0,0.00711,0.00628,0.00123,0.0179,0.00205,0.00751,0.00292,0.0115,0.0023,0.00182,0.00416,0.00235,0.000746,0.00565,0.0
586.0,28.2,12152852480,529.0,1564.0,1571.0,2424.0,415.0,25079.0,2761.0,2858.0,252.0,8610.0,1312.0,346.0,606.0,48324.0,0.00711,0.0111,0.00123,0.0179,0.00205,0.00751,0.00282,0.012,0.0023,0.00186,0.00416,0.00235,0.000746,0.00608,0.0
577.0,28.2,12246286336,529.0,1564.0,1571.0,2424.0,420.0,24413.0,2737.0,2940.0,252.0,8610.0,1312.0,346.0,606.0,47722.0,0.00711,0.0111,0.00181,0.0179,0.00205,0.00751,0.00291,0.0124,0.0023,0.00461,0.00416,0.00235,0.00122,0.00645,0.0
575.0,28.2,12357550080,538.0,1630.0,1571.0,2424.0,420.0,25028.0,2713.0,3023.0,252.0,8875.0,1312.0,500.0,606.0,48890.0,0.00711,0.0111,0.00189,0.0179,0.002,0.00773,0.00289,0.0128,0.0023,0.00475,0.00416,0.00228,0.00122,0.00651,0.0
564.0,28.2,12429074432,557.0,1630.0,1571.0,2424.0,420.0,47637.0,2689.0,3106.0,259.0,9162.0,1312.0,504.0,606.0,71875.0,0.00711,0.0111,0.00189,0.0179,0.00235,0.00799,0.00286,0.0132,0.00233,0.00475,0.00594,0.00229,0.00126,0.00674,0.0
851.0,29.1,12429041664,771.0,1630.0,1622.0,2499.0,420.0,47637.0,2666.0,3828.0,259.0,9162.0,1855.0,519.0,800.0,73666.0,0.00719,0.0111,0.00189,0.019,0.00235,0.00799,0.00284,0.0119,0.00445,0.00475,0.00594,0.00228,0.00126,0.00691,0.0
851.0,28.9,12439044096,771.0,1630.0,1622.0,3540.0,420.0,47637.0,2642.0,3927.0,259.0,9162.0,1913.0,519.0,800.0,74842.0,0.00724,0.013,0.00189,0.019,0.00235,0.0148,0.00282,0.0155,0.00445,0.00475,0.00618,0.00252,0.00126,0.00798,0.0
