"Time","sum(rate(container_fs_reads_bytes_total{namespace=""default""}[5m]))"
2024-06-12 11:11:46,4649
2024-06-12 11:11:48,4625
2024-06-12 11:11:50,4567
2024-06-12 11:11:52,4602
2024-06-12 11:11:54,4574
2024-06-12 11:11:56,4507
2024-06-12 11:11:58,4553
2024-06-12 11:12:00,4637
2024-06-12 11:12:02,4575
2024-06-12 11:12:04,4640
2024-06-12 11:12:06,4616
2024-06-12 11:12:08,4566
2024-06-12 11:12:10,4566
2024-06-12 11:12:12,4538
2024-06-12 11:12:14,4590
2024-06-12 11:12:16,4576
2024-06-12 11:12:18,4614
2024-06-12 11:12:20,4618
2024-06-12 11:12:22,4622
2024-06-12 11:12:24,74823
2024-06-12 11:12:26,75053
2024-06-12 11:12:28,75459
2024-06-12 11:12:30,75495
2024-06-12 11:12:32,73519
2024-06-12 11:12:34,75689
2024-06-12 11:12:36,76168
2024-06-12 11:12:38,85820
2024-06-12 11:12:40,85718
2024-06-12 11:12:42,85704
2024-06-12 11:12:44,87635
2024-06-12 11:12:46,88237
2024-06-12 11:12:48,88873
2024-06-12 11:12:50,89446
2024-06-12 11:12:52,90027
2024-06-12 11:12:54,90891
2024-06-12 11:12:56,85946
2024-06-12 11:12:58,85942
2024-06-12 11:13:00,85989
2024-06-12 11:13:02,88492
2024-06-12 11:13:04,89096
2024-06-12 11:13:06,89700
2024-06-12 11:13:08,90352
2024-06-12 11:13:10,90941
2024-06-12 11:13:12,88518
2024-06-12 11:13:14,85772
2024-06-12 11:13:16,85815
2024-06-12 11:13:18,85815
2024-06-12 11:13:20,88117
2024-06-12 11:13:22,88680
2024-06-12 11:13:24,89222
2024-06-12 11:13:26,89660
2024-06-12 11:13:28,89603
2024-06-12 11:13:30,85468
2024-06-12 11:13:32,87459
2024-06-12 11:13:34,88034
2024-06-12 11:13:36,88673
2024-06-12 11:13:38,89173
2024-06-12 11:13:40,89151
2024-06-12 11:13:42,85315
2024-06-12 11:13:44,85315
2024-06-12 11:13:46,87642
2024-06-12 11:13:48,88258
2024-06-12 11:13:50,88753
2024-06-12 11:13:52,88801
2024-06-12 11:13:54,88828
2024-06-12 11:13:56,88673
2024-06-12 11:13:58,91207
2024-06-12 11:14:00,86332
2024-06-12 11:14:02,86872
2024-06-12 11:14:04,87371
2024-06-12 11:14:06,87917
2024-06-12 11:14:08,87922
2024-06-12 11:14:10,87986
2024-06-12 11:14:12,87719
2024-06-12 11:14:14,90255
2024-06-12 11:14:16,90863
2024-06-12 11:14:18,88255
2024-06-12 11:14:20,86228
2024-06-12 11:14:22,86609
2024-06-12 11:14:24,87227
2024-06-12 11:14:26,87539
2024-06-12 11:14:28,87497
2024-06-12 11:14:30,84677
2024-06-12 11:14:32,86639
2024-06-12 11:14:34,87203
2024-06-12 11:14:36,87783
2024-06-12 11:14:38,89666
2024-06-12 11:14:40,90448
2024-06-12 11:14:42,91076
2024-06-12 11:14:44,87611
2024-06-12 11:14:46,87785
2024-06-12 11:14:48,87970
2024-06-12 11:14:50,88112
2024-06-12 11:14:52,89966
2024-06-12 11:14:54,90588
2024-06-12 11:14:56,90579
2024-06-12 11:14:58,91114
2024-06-12 11:15:00,91478
2024-06-12 11:15:02,86019
2024-06-12 11:15:04,86077
2024-06-12 11:15:06,88144
2024-06-12 11:15:08,88271
2024-06-12 11:15:10,88393
2024-06-12 11:15:12,88945
