i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_pod-pod-14,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_pod-pod-14,cpu_system,pod_restart
0,398,12458323968,2208,6403,7382,11699,782,173579,13358.0,,1650.0,749,43334,5719,1703,2520,271086,0.00835,0.043,0.0114,0.126,0.00513,0.0712,0.0492,,0.00236,0.0226,0.0291,0.0264,0.00372,0.00622,0.0337,0
0,398,12458496000,2208,6359,8089,11699,758,173579,13476.0,,1607.0,804,43334,5719,1703,2520,271855,0.00835,0.0446,0.0124,0.126,0.00516,0.0712,0.0518,,0.00229,0.0226,0.0291,0.0264,0.00372,0.00622,0.0341,0
0,398,12471271424,2248,7310,8089,11699,835,180780,13594.0,,1564.0,804,43334,5719,1862,2520,280358,0.00835,0.0446,0.0124,0.126,0.00533,0.0712,0.0523,,0.00223,0.0226,0.0282,0.0264,0.00372,0.00622,0.0341,0
0,404,12469723136,2336,7310,8089,11699,835,180780,13713.0,,1453.0,804,43334,5920,1888,2520,280681,0.00892,0.0446,0.0124,0.126,0.00554,0.0755,0.0527,,0.00199,0.024,0.028,0.0268,0.00372,0.00622,0.0347,0
0,410,12474744832,2500,7579,8089,11366,835,194202,14397.0,,1412.0,804,43334,5920,1901,2520,294859,0.00915,0.0446,0.0124,0.126,0.00554,0.0755,0.0532,,0.00193,0.0249,0.032,0.0269,0.00372,0.00688,0.0352,0
0,413,12474798080,2500,7579,8089,12874,835,194202,14520.0,,1371.0,804,44276,6317,1965,2520,297851,0.00915,0.0479,0.0126,0.126,0.00554,0.0755,0.0536,,0.00187,0.0249,0.032,0.0296,0.00365,0.00688,0.0358,0
0,406,12476583936,2500,7579,8089,12874,858,194202,14643.0,,1330.0,804,44584,6317,1965,2638,298382,0.00915,0.0479,0.0127,0.131,0.00554,0.0755,0.0541,,0.00181,0.0249,0.032,0.0296,0.00394,0.00688,0.0362,0
0,400,12475527168,2500,7579,8287,12874,883,194202,14766.0,,1288.0,804,44507,6317,1965,2789,298762,0.00915,0.0479,0.0138,0.134,0.00554,0.0769,0.0546,,0.00175,0.0249,0.032,0.0296,0.00394,0.00688,0.0368,0
0,395,12481449984,2500,7579,9049,12874,883,194202,14890.0,,1247.0,845,50344,6317,1965,2789,305484,0.00915,0.0503,0.0138,0.134,0.00554,0.0793,0.053,,0.00169,0.0249,0.0332,0.0296,0.00394,0.00688,0.0371,0
0,395,12483067904,2500,7356,9049,12874,883,201350,15013.0,,1206.0,867,50344,6317,1965,2789,312513,0.00915,0.0503,0.0138,0.134,0.00554,0.0793,0.053,,0.00127,0.0249,0.0332,0.0296,0.00394,0.00688,0.0371,0
