"Time","sum (container_memory_working_set_bytes{id!=""/"",pod_name=~""^()()().*$"",kubernetes_io_hostname=~""^.*$""}) by (pod_name)"
2024-05-29 12:06:58,13055610880
2024-05-29 12:07:00,13056331776
2024-05-29 12:07:02,13068783616
2024-05-29 12:07:04,13084983296
2024-05-29 12:07:06,12719353856
2024-05-29 12:07:08,12650106880
2024-05-29 12:07:10,12529713152
2024-05-29 12:07:12,12642680832
2024-05-29 12:07:14,12685312000
2024-05-29 12:07:16,12852932608
2024-05-29 12:07:18,12975783936
2024-05-29 12:07:20,13106716672
2024-05-29 12:07:22,13241040896
2024-05-29 12:07:24,13315624960
2024-05-29 12:07:26,13472698368
2024-05-29 12:07:28,13479587840
2024-05-29 12:07:30,13511626752
2024-05-29 12:07:32,13586956288
2024-05-29 12:07:34,13649760256
2024-05-29 12:07:36,13735616512
2024-05-29 12:07:38,13755842560
2024-05-29 12:07:40,13775327232
2024-05-29 12:07:42,13784031232
2024-05-29 12:07:44,13793316864
2024-05-29 12:07:46,13813256192
2024-05-29 12:07:48,13826682880
2024-05-29 12:07:50,13823401984
2024-05-29 12:07:52,13852008448
2024-05-29 12:07:54,13856432128
2024-05-29 12:07:56,13863628800
2024-05-29 12:07:58,13856374784
2024-05-29 12:08:00,13865381888
2024-05-29 12:08:02,13866459136
2024-05-29 12:08:04,13869293568
2024-05-29 12:08:06,13796040704
2024-05-29 12:08:08,13738131456
2024-05-29 12:08:10,13734268928
2024-05-29 12:08:12,13682974720
2024-05-29 12:08:14,13683634176
2024-05-29 12:08:16,13680492544
2024-05-29 12:08:18,13678407680
2024-05-29 12:08:20,13676232704
2024-05-29 12:08:22,13672058880
2024-05-29 12:08:24,13672398848
2024-05-29 12:08:26,13679878144
2024-05-29 12:08:28,13680529408
2024-05-29 12:08:30,13668626432
2024-05-29 12:08:32,13666852864
2024-05-29 12:08:34,13668634624
2024-05-29 12:08:36,13699072000
2024-05-29 12:08:38,13697019904
2024-05-29 12:08:40,13700972544
2024-05-29 12:08:42,13770604544
2024-05-29 12:08:44,13776064512
2024-05-29 12:08:46,13953060864
2024-05-29 12:08:48,13956968448
2024-05-29 12:08:50,13953048576
2024-05-29 12:08:52,13954101248
2024-05-29 12:08:54,13960667136
2024-05-29 12:08:56,13962780672
2024-05-29 12:08:58,13960495104
