Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,cart_i_o_read,cart_i_o_write,cart_memory,network_outgoing_pod_adservice,network_outgoing_pod_cartservice,network_outgoing_pod_checkoutservice,network_outgoing_pod_currencyservice,network_outgoing_pod_emailservice,network_outgoing_pod_frontend,network_outgoing_pod_loadgenerator,network_outgoing_pod_paymentservice,network_outgoing_pod_productcatalogservice,network_outgoing_pod_recommendationservice,network_outgoing_pod_redis,network_outgoing_pod_shippingservice,network_outgoing_system,cpu_pod_adservice,cpu_pod_cartservice,cpu_pod_checkoutservice,cpu_pod_currencyservice,cpu_pod_emailservice,cpu_pod_frontend,cpu_pod_loadgenerator,cpu_pod_paymentservice,cpu_pod_productcatalogservice,cpu_pod_recommendationservice,cpu_pod_redis,cpu_pod_shippingservice,cpu_system,"cart_pod_restart_{container=""main"", instance=""kube","cart_pod_restart_{container=""main"", instance=""kube.2","cart_pod_restart_{container=""redis"", instance=""kube","cart_pod_restart_{container=""server"", instance=""kube","cart_pod_restart_{container=""server"", instance=""kube.2","cart_pod_restart_{container=""server"", instance=""kube.3","cart_pod_restart_{container=""server"", instance=""kube.4","cart_pod_restart_{container=""server"", instance=""kube.5","cart_pod_restart_{container=""server"", instance=""kube.6","cart_pod_restart_{container=""server"", instance=""kube.7","cart_pod_restart_{container=""server"", instance=""kube.8","cart_pod_restart_{container=""server"", instance=""kube.9"
52,17,161.7058823529412,11557,0,13033902080,158,382,6.9,31.4,269,21.1,489.0,20.4,886,493,6.51,28.7,9077,0.023,0.0173,1.92e-05,0.000134,0.00399,3.42e-05,0.00581,0.00012,0.00124,0.00425,0.000216,4.63e-05,0.00732,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
54,23,203.56521739130432,11530,0,13010030592,159,384,6.37,29.4,261,20.2,489.0,27.5,893,497,6.21,27.3,9161,0.0232,0.0175,1.8e-05,0.00013,0.00401,3.29e-05,0.00581,0.000115,0.00125,0.00425,0.0002,4.35e-05,0.0074,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
56,25,212.72,11470,0,13012004864,206,387,,28.3,282,19.4,489.0,26.3,899,500,5.91,25.9,9293,0.0233,0.0176,1.66e-05,0.000126,0.00404,3.15e-05,0.00581,0.00011,0.00126,0.00547,0.000184,4.08e-05,0.00756,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
58,17,128.64705882352942,11521,0,12983078912,207,390,,27.2,284,19.9,489.0,25.0,871,504,5.62,24.5,16525,0.0235,0.0177,1.55e-05,0.00011,0.00407,3.02e-05,0.00581,0.00011,0.00278,0.00551,0.000168,3.8e-05,0.00773,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
60,22,238.6818181818182,11560,0,12988846080,209,393,,26.0,286,19.0,489.0,23.8,3192,708,5.32,23.2,19246,0.0229,0.0178,1.44e-05,0.000122,0.0041,2.89e-05,0.00581,0.000105,0.0028,0.00555,,3.53e-05,0.00792,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
62,17,96.11764705882354,11601,0,12989300736,210,396,,24.9,288,18.0,489.0,22.6,3215,713,5.02,18.6,19399,0.025,0.0191,1.33e-05,0.000118,0.00413,2.76e-05,0.00581,9.95e-05,0.00282,0.00559,,3.26e-05,0.00906,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
64,24,158.0,11506,0,12989693952,212,385,,23.7,291,17.1,489.0,21.4,3238,718,4.73,18.6,19968,0.0252,0.0193,1.22e-05,0.000114,0.00409,2.62e-05,0.00581,9.43e-05,0.00284,0.00563,,2.98e-05,0.00913,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
66,19,175.0,11442,0,12993241088,213,798,,22.6,293,16.2,489.0,20.1,3261,723,4.43,18.6,20528,0.0253,0.0194,,0.00011,0.00412,3.1e-05,0.00581,8.9e-05,0.00286,0.00568,,,0.00924,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
68,31,718.5483870967741,11404,0,13001252864,215,803,,21.4,295,15.3,489.0,18.9,3285,728,,22.4,21242,0.0255,0.0195,,0.000105,0.00415,2.94e-05,0.00581,8.38e-05,0.00288,0.00572,,,0.00931,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
70,23,191.6086956521739,11452,0,13021163520,216,809,,9.68,297,14.4,489.0,17.7,3308,734,,20.6,21524,0.0257,0.0197,,0.000101,0.00418,2.79e-05,0.00581,8.43e-05,0.0029,0.00576,,,0.00939,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
72,34,400.4117647058824,11500,0,13019308032,295,815,,9.68,289,13.5,489.0,,4977,739,,18.7,23387,0.0259,0.0198,,9.71e-05,0.00421,2.63e-05,0.00581,7.88e-05,0.00292,0.00558,,,0.00944,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
74,28,175.96428571428572,11549,0,13022351360,297,820,,12.5,311,12.5,489.0,,5011,744,,16.9,23576,0.0261,0.02,,9.57e-05,0.00424,2.47e-05,0.00581,7.32e-05,0.00285,0.00742,,,0.00988,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
76,25,182.88,11597,0,13018779648,299,826,,11.6,313,11.6,489.0,,5046,1002,,15.0,23546,0.0262,0.0201,,9.14e-05,0.00427,2.31e-05,0.00581,6.77e-05,0.00471,0.00747,,,0.0101,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
78,34,232.64705882352945,11691,0,13013762048,301,831,,10.8,315,,489.0,,5081,1009,,,35642,0.0277,0.0219,,8.72e-05,0.00421,,0.00581,6.21e-05,0.00475,0.00752,,,0.0103,0.0,0.0,0.0,0,0,0.0,,0,0.0,0,0,0.0
80,35,279.9142857142857,11687,0,13011140608,303,837,,9.97,317,,489.0,,5115,1016,,,36026,0.0279,0.0221,,8.29e-05,0.00424,,0.00581,5.66e-05,0.00478,0.00758,,,0.0112,0.0,0.0,0.0,0,0,0.0,,0,0.0,0,0,0.0
82,38,283.10526315789474,11549,0,13017788416,298,845,,9.13,320,,489.0,,5150,1023,,,37238,0.0136,0.0222,,7.86e-05,0.00427,,0.00581,,0.00479,0.00763,,,0.0101,0.0,0.0,,0,0,0.0,,0,0.0,0,0,0.0
84,39,258.28205128205127,11441,0,13006995456,298,1306,,8.3,322,,489.0,,5185,1030,,,37992,0.014,0.0224,,3.81e-05,0.0043,,0.00581,,0.00479,0.00768,,,0.0102,0.0,0.0,,0,0,0.0,,0,0.0,0,0,0.0
86,46,357.3478260869565,11440,0,12907081728,298,1315,,7.47,324,,489.0,,5237,1303,,,38530,0.014,0.0214,,3.81e-05,0.00431,,0.00581,,0.00631,0.00773,,,0.0103,0.0,0.0,,0,0,0.0,,0,0.0,0,0,0.0
