Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,checkout_i_o_read,checkout_i_o_write,checkout_memory,network_outgoing_pod_adservice,network_outgoing_pod_cartservice,network_outgoing_pod_checkoutservice,network_outgoing_pod_currencyservice,network_outgoing_pod_emailservice,network_outgoing_pod_frontend,network_outgoing_pod_loadgenerator,network_outgoing_pod_paymentservice,network_outgoing_pod_productcatalogservice,network_outgoing_pod_recommendationservice,network_outgoing_pod_redis,network_outgoing_pod_shippingservice,network_outgoing_system,cpu_pod_adservice,cpu_pod_cartservice,cpu_pod_checkoutservice,cpu_pod_currencyservice,cpu_pod_emailservice,cpu_pod_frontend,cpu_pod_loadgenerator,cpu_pod_paymentservice,cpu_pod_productcatalogservice,cpu_pod_recommendationservice,cpu_pod_redis,cpu_pod_shippingservice,cpu_system,"checkout_pod_restart_{container=""main"", instance=""kube","checkout_pod_restart_{container=""redis"", instance=""kube","checkout_pod_restart_{container=""server"", instance=""kube","checkout_pod_restart_{container=""server"", instance=""kube.2","checkout_pod_restart_{container=""server"", instance=""kube.3","checkout_pod_restart_{container=""server"", instance=""kube.4","checkout_pod_restart_{container=""server"", instance=""kube.5","checkout_pod_restart_{container=""server"", instance=""kube.6","checkout_pod_restart_{container=""server"", instance=""kube.7","checkout_pod_restart_{container=""server"", instance=""kube.8","checkout_pod_restart_{container=""server"", instance=""kube.9"
58,11,61.0,237712,0.0,13654548480,73.2,95.5,91.4,93.2,221.0,2441,4324.0,97.6,89.6,258.0,40.5,153.0,11200,0.0192,0.00148,0.000149,0.000357,0.000982,0.00101,0.00339,0.00462,0.000153,0.00408,0.00156,0.000578,0.0062,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
60,12,69.58333333333333,213278,0.0,13656920064,74.5,94.5,90.4,92.3,219.0,2485,4287.0,99.4,88.7,263.0,42.1,156.0,11245,0.0195,0.00147,0.000147,0.000353,0.000972,0.00213,0.00336,0.00471,0.00015,0.00416,0.00154,0.000588,0.00665,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
62,9,62.0,217201,0.0,13661982720,75.8,93.6,89.5,94.3,216.0,2529,4251.0,101.0,90.3,268.0,41.7,231.0,11480,0.0199,0.00149,0.000146,0.00035,0.000967,0.00216,0.00333,0.0048,0.000148,0.00423,0.00152,0.000598,0.00707,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
64,14,134.0,218483,0.0,13664264192,77.1,92.7,88.5,93.4,214.0,2573,4263.0,103.0,89.4,272.0,41.2,235.0,12091,0.0202,0.00147,0.000144,0.000346,0.000958,0.0022,0.00331,0.00489,0.000147,0.0043,0.00151,0.000608,0.00717,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
66,15,79.4,221824,0.0,13661655040,78.4,91.7,87.5,92.4,216.0,2617,4226.0,105.0,88.4,277.0,40.8,240.0,13326,0.0206,0.00146,0.000136,0.000355,0.000948,0.00223,0.00328,0.00498,0.000145,0.00438,0.00149,0.000618,0.00728,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
68,10,55.9,225489,0.0,13657927680,87.6,90.8,86.5,91.4,214.0,2661,4190.0,106.0,87.5,282.0,40.3,244.0,13880,0.0197,0.00144,0.000142,0.000351,0.000938,0.00227,0.00325,0.00682,0.000144,0.00445,0.00147,0.00101,0.00746,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
70,20,104.2,228725,0.0,13653557248,89.0,93.5,85.5,90.4,211.0,2705,4153.0,108.0,86.6,286.0,39.9,248.0,13967,0.0201,0.00143,0.00014,0.000347,0.000928,0.0033,0.00322,0.00694,0.000142,0.00452,0.00146,0.00102,0.00759,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
72,17,62.94117647058823,231052,0.0,13657837568,90.4,92.6,79.3,89.4,209.0,5969,4116.0,110.0,85.6,474.0,39.4,252.0,17439,0.0204,0.00141,0.000138,0.000344,0.00092,0.00336,0.0032,0.00707,0.000141,0.00491,0.00144,0.00104,0.00799,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
74,15,113.6,234891,0.0,13659734016,91.8,91.6,83.1,88.5,207.0,6064,4111.0,103.0,84.7,482.0,39.5,256.0,17824,0.0207,0.0014,0.000137,0.00034,0.00091,0.00341,0.00317,0.00719,0.000121,0.00498,0.00142,0.00106,0.00819,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
76,15,76.0,238730,0.0,13663899648,93.3,90.6,82.1,87.5,205.0,6160,4074.0,192.0,78.6,489.0,39.1,260.0,19001,0.021,0.00133,0.000135,0.000336,0.0009,0.00346,0.00307,0.00731,0.000127,0.00506,0.00141,0.00107,0.00829,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
78,13,58.23076923076923,214780,0.0,13663731712,94.7,89.6,81.2,80.2,203.0,6255,4037.0,195.0,82.0,497.0,38.6,244.0,19138,0.0213,0.0014,0.000134,0.000332,0.000891,0.00351,0.00316,0.00743,0.000125,0.00514,0.00139,0.00109,0.00841,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
80,30,135.9,216381,0.0,13663977472,96.1,88.7,80.2,83.7,201.0,6351,4000.0,197.0,81.1,505.0,38.2,244.0,20177,0.0217,0.00138,0.000132,0.00032,0.000881,0.00357,0.00313,0.00755,0.000124,0.00522,0.00138,0.0011,0.00862,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
82,17,98.3529411764706,217880,0.0,13665738752,119.0,87.7,79.2,82.7,198.0,6446,3963.0,200.0,80.1,512.0,37.7,456.0,20898,0.022,0.00137,0.000131,0.000334,0.000871,0.00362,0.0031,0.00712,0.000123,0.00562,0.00137,0.00112,0.00873,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
84,31,122.87096774193547,221159,0.0,13667856384,121.0,86.7,78.2,81.8,192.0,6542,3926.0,203.0,79.2,520.0,37.2,463.0,21080,0.0208,0.00135,0.000135,0.000331,0.000861,0.00367,0.00308,0.0103,0.000121,0.00571,0.00135,0.00114,0.00902,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
86,21,118.42857142857144,223787,0.0,13672226816,122.0,83.1,77.2,80.8,190.0,6637,3889.0,206.0,78.3,528.0,35.5,470.0,21296,0.0215,0.00134,0.000133,0.000327,0.000853,0.00348,0.00305,0.0105,0.00012,0.00579,0.00133,0.00115,0.00958,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
88,25,89.0,226374,0.0,13679185920,124.0,82.2,76.3,79.8,187.0,12101,3852.0,260.0,77.3,759.0,35.1,477.0,27089,0.0218,0.00132,0.000132,0.000323,0.000843,0.00613,0.00302,0.0107,0.000118,0.00587,0.00132,0.0018,0.0101,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
90,30,101.83333333333331,229674,0.0,13679869952,126.0,81.3,75.5,78.9,185.0,12273,3840.0,263.0,76.4,770.0,34.6,484.0,28955,0.0222,0.00131,0.00013,0.000319,0.000834,0.00621,0.00299,0.0108,0.000117,0.00596,0.0013,0.00183,0.0103,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
92,25,106.4,232974,0.0,13680517120,128.0,80.3,74.5,77.9,183.0,12444,3803.0,267.0,75.4,781.0,34.2,490.0,29221,0.0225,0.00129,0.000128,0.000315,0.000824,0.0063,0.00296,0.011,0.000115,0.00604,0.00128,0.00185,0.0104,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
94,25,212.8,215372,0.0,13684314112,129.0,79.4,73.5,77.0,182.0,12616,3766.0,271.0,76.9,791.0,33.7,497.0,31499,0.0228,0.00128,0.000127,0.000311,0.000814,0.00638,0.00295,0.0112,0.000119,0.00612,0.00126,0.00188,0.0105,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
