i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13
575,2446,13649760256,762,2976,2329,3301,495,65908,9188,5868,250,15297,2387,773.0,911,110446,0.00284,0.00956,0.00276,0.0204,0.00251,0.0209,0.00393,0.0295,0.0042,0.00511,0.012,0.00262,0.00223,0.00988,0,0,0,0,0,0,0,0,0.0,0,0,0,0
568,2514,13735616512,762,2976,2329,3301,495,65908,9106,6025,336,15297,2387,773.0,911,110607,0.0036,0.0136,0.00289,0.0204,0.00251,0.0219,0.00389,0.0303,0.0042,0.0085,0.0172,0.00262,0.00223,0.0112,0,0,0,0,0,0,0,0,0.0,0,0,0,0
578,2466,13755842560,762,2976,2329,3398,495,65908,9023,6182,336,15838,2486,773.0,911,111418,0.0036,0.0136,0.00405,0.0271,0.00251,0.0219,0.00385,0.0311,0.0042,0.00871,0.0172,0.00275,0.00223,0.0119,0,0,0,0,0,0,0,0,0.0,0,0,0,0
597,2402,13775327232,941,2976,3097,3496,495,65908,8940,6340,336,15838,2486,773.0,911,112538,0.00369,0.0136,0.00405,0.0271,0.00332,0.0219,0.00383,0.0319,0.00644,0.009,0.0172,0.00275,0.00223,0.0123,0,0,0,0,0,0,0,0,0.0,0,0,0,0
580,2402,13784031232,941,2976,3097,3496,495,97693,8858,6497,336,15838,2486,773.0,942,144427,0.00369,0.0136,0.00405,0.0271,0.00332,0.0219,0.00379,0.0327,0.00644,0.009,0.0172,0.00275,0.00223,0.0123,0,0,0,0,0,0,0,0,0.0,0,0,0,0
580,2402,13793316864,941,2976,3097,3496,495,97693,8389,8679,341,24965,3454,773.0,942,156241,0.00369,0.0136,0.00405,0.0271,0.00339,0.0219,0.00375,0.0335,0.00644,0.009,0.0172,0.00275,0.0023,0.0124,0,0,0,0,0,0,0,0,0.0,0,0,0,0
580,2470,13813256192,974,4072,3187,3496,595,97693,8679,8884,410,24965,3454,792.0,942,158143,0.00369,0.0136,0.00405,0.0271,0.00339,0.0219,0.00372,0.0343,0.00661,0.009,0.0172,0.00279,0.0023,0.0125,0,0,0,0,0,0,0,0,0.0,0,0,0,0
580,2422,13826682880,974,4072,3299,3384,610,102718,8597,9089,410,26255,3454,821.0,942,164624,0.00369,0.0136,0.0049,0.0282,0.00339,0.0211,0.00368,0.04,0.00684,0.009,0.0172,0.00291,0.00222,0.0131,0,0,0,0,0,0,0,0,0.0,0,0,0,0
566,2454,13823401984,974,4072,3299,5155,610,102718,8514,9294,410,26255,3531,796.0,914,166540,0.00369,0.0173,0.0049,0.0282,0.00339,0.0338,0.00364,0.0409,0.00684,0.0117,0.018,0.00291,0.0033,0.0149,0,0,0,0,0,0,0,0,0.0,0,0,0,0
566,2408,13852008448,974,4072,3299,5155,610,102718,8431,9500,410,26255,3656,1169.0,907,167154,0.00369,0.0173,0.0051,0.0282,0.00339,0.035,0.00361,0.0418,0.00684,0.0117,0.0174,0.00291,0.0033,0.015,0,0,0,0,0,0,0,0,0.0,0,0,0,0
