Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod_restart,cpu_system_lag_1,cpu_system_lag_2,cpu_system_lag_3,cpu_system_lag_4,cpu_system_lag_5,Requests je Sekunde_lag_1,Requests je Sekunde_lag_2,Requests je Sekunde_lag_3,Requests je Sekunde_lag_4,Requests je Sekunde_lag_5,memory_lag_1,memory_lag_2,memory_lag_3,memory_lag_4,memory_lag_5,Requests je Sekunde_rolling_avg_5,cpu_system_rolling_avg_5,memory_rolling_avg_5,cpu_pod-pod-1_rolling_avg_5,cpu_pod-pod-11_rolling_avg_5,cpu_pod-pod-8_rolling_avg_5,cpu_system_cumsum,memory_cumsum,network_outgoing_system_log_scaled,memory_log_scaled,cpu_system_log_scaled
38,20,250.6,0.0,0.0,11528036352.0,152.0,184.0,292.0,265.0,327.0,1636.0,5063.0,481.0,153.0,566.0,354.0,68.5,224.0,9764.0,0.00204,0.00295,0.000386,0.00369,0.00168,0.000477,0.00456,0.00598,0.000564,0.000355,0.00191,0.00216,0.000392,0.00226,0.0,0.00246,0.00231,0.00224,0.00195,0.00192,13.0,15.0,14.0,8.0,8.0,11514314752.0,11440242688.0,11435241472.0,11424878592.0,11423129600.0,14.0,0.002244,11468542771.2,0.0019820000000000003,0.001712,0.007278,0.021789999999999997,125845606400.0,9.186559843310778,23.168047849091124,0.002257450041215208
40,13,122.76923076923076,0.0,0.0,11542544384.0,152.0,184.0,300.0,265.0,327.0,4171.0,5023.0,505.0,165.0,566.0,354.0,103.0,282.0,12398.0,0.00204,0.00295,0.000386,0.00369,0.00161,0.000477,0.00452,0.00628,0.000564,0.000343,0.00191,0.00216,0.00038,0.00228,0.0,0.00226,0.00246,0.00231,0.00224,0.00195,20.0,13.0,15.0,14.0,8.0,11528036352.0,11514314752.0,11440242688.0,11435241472.0,11424878592.0,15.0,0.0023100000000000004,11492075929.6,0.0020180000000000003,0.001778,0.007148,0.024069999999999998,137388150784.0,9.425371103179842,23.16930555769215,0.0022774047440404584
42,18,123.55555555555556,0.0,0.0,11557359616.0,152.0,184.0,300.0,265.0,327.0,4325.0,4984.0,528.0,165.0,587.0,356.0,103.0,284.0,12561.0,0.00204,0.00295,0.00066,0.00369,0.00162,0.00237,0.00449,0.00659,0.000564,0.000341,0.00191,0.00216,0.00052,0.00249,0.0,0.00228,0.00226,0.00246,0.00231,0.00224,13.0,20.0,13.0,15.0,14.0,11542544384.0,11528036352.0,11514314752.0,11440242688.0,11435241472.0,15.8,0.00236,11516499558.4,0.00204,0.0018439999999999997,0.0069900000000000006,0.026559999999999997,148945510400.0,9.438431663014326,23.17058826726792,0.002486905086491794
44,18,94.88888888888889,0.0,0.0,11576827904.0,152.0,184.0,300.0,643.0,327.0,4325.0,5009.0,552.0,165.0,587.0,356.0,103.0,284.0,12987.0,0.00204,0.00295,0.00066,0.00369,0.00174,0.00237,0.00445,0.00689,0.000564,0.00119,0.00192,0.00216,0.00052,0.0026,0.0,0.00249,0.00228,0.00226,0.00246,0.00231,18.0,13.0,20.0,13.0,15.0,11557359616.0,11542544384.0,11528036352.0,11514314752.0,11440242688.0,16.4,0.002418,11543816601.6,0.00204,0.001912,0.006802,0.02916,160522338304.0,9.471781133222736,23.17227134280945,0.002596625847265978
46,17,63.05882352941177,0.0,70.3,11578155008.0,152.0,178.0,300.0,643.0,344.0,4325.0,4969.0,990.0,165.0,1807.0,528.0,103.0,284.0,14788.0,0.00226,0.00299,0.00066,0.00378,0.00174,0.00237,0.00442,0.0072,0.000564,0.00119,0.00239,0.00223,0.00053,0.00269,0.0,0.0026,0.00249,0.00228,0.00226,0.00246,18.0,18.0,13.0,20.0,13.0,11576827904.0,11557359616.0,11542544384.0,11528036352.0,11514314752.0,17.2,0.002464,11556584652.8,0.002084,0.0020080000000000002,0.006587999999999999,0.031849999999999996,172100493312.0,9.601638940166769,23.17238597074991,0.002686388425307488
48,21,79.71428571428571,0.0,140.0,11633795072.0,152.0,177.0,490.0,643.0,344.0,4325.0,4929.0,1031.0,165.0,1807.0,528.0,103.0,284.0,14978.0,0.00227,0.00458,0.00066,0.0114,0.00174,0.00237,0.00438,0.00751,0.00155,0.00123,0.00239,0.00223,0.00053,0.00357,0.0,0.00269,0.0026,0.00249,0.00228,0.00226,17.0,18.0,18.0,13.0,20.0,11578155008.0,11576827904.0,11557359616.0,11542544384.0,11528036352.0,17.4,0.002726,11577736396.8,0.00213,0.002104,0.006894,0.03541999999999999,183734288384.0,9.61440449916872,23.177180067787837,0.0035636426759385136
50,9,32.333333333333336,0.0,140.0,11904212992.0,152.0,455.0,490.0,643.0,347.0,4325.0,4890.0,1072.0,165.0,1807.0,528.0,103.0,284.0,15260.0,0.00227,0.00458,0.00066,0.0117,0.00174,0.00237,0.00438,0.00781,0.00161,0.00123,0.00239,0.00223,0.00053,0.00363,0.0,0.00357,0.00269,0.0026,0.00249,0.00228,21.0,17.0,18.0,18.0,13.0,11633795072.0,11578155008.0,11576827904.0,11557359616.0,11542544384.0,16.6,0.0029959999999999995,11650070118.4,0.002176,0.0021999999999999997,0.0072,0.039049999999999994,195638501376.0,9.633055833490875,23.2001582074342,0.0036234274507670025
52,23,86.56521739130434,0.0,140.0,11944435712.0,147.0,472.0,490.0,643.0,347.0,4325.0,4850.0,1113.0,165.0,1807.0,528.0,106.0,284.0,15275.0,0.00227,0.00458,0.00066,0.0117,0.00174,0.00244,0.00435,0.00747,0.00161,0.00123,0.00239,0.00223,0.00053,0.0036,0.0,0.00363,0.00357,0.00269,0.0026,0.00249,9.0,21.0,17.0,18.0,18.0,11904212992.0,11633795072.0,11578155008.0,11576827904.0,11557359616.0,17.6,0.003218,11727485337.6,0.002222,0.0022960000000000003,0.007376000000000001,0.042649999999999993,207582937088.0,9.634038248345407,23.20353137617299,0.0035935355101301704
54,21,89.23809523809524,0.0,144.0,12098969600.0,234.0,472.0,490.0,643.0,347.0,4325.0,4810.0,1154.0,183.0,1807.0,528.0,106.0,341.0,15438.0,0.00227,0.00458,0.000967,0.0117,0.00181,0.00252,0.00431,0.00775,0.00161,0.00123,0.00239,0.00223,0.00053,0.00366,0.0,0.0036,0.00363,0.00357,0.00269,0.0026,23.0,9.0,21.0,17.0,18.0,11944435712.0,11904212992.0,11633795072.0,11578155008.0,11576827904.0,18.2,0.00343,11831913676.8,0.002268,0.00239,0.007548000000000001,0.04630999999999999,219681906688.0,9.644652054641927,23.2163861289809,0.0036533184979024276
56,13,71.23076923076923,0.0,148.0,12328214528.0,242.0,472.0,506.0,671.0,347.0,10180.0,4770.0,1195.0,183.0,1872.0,528.0,161.0,341.0,21468.0,0.00227,0.00458,0.000967,0.0117,0.00181,0.00495,0.00428,0.00803,0.00161,0.00123,0.00239,0.00223,0.00053,0.00388,0.0,0.00366,0.0036,0.00363,0.00357,0.00269,21.0,23.0,9.0,21.0,17.0,12098969600.0,11944435712.0,11904212992.0,11633795072.0,11578155008.0,17.4,0.0036680000000000003,11981925580.8,0.00227,0.00239,0.007714000000000001,0.05018999999999999,232010121216.0,9.974365313169566,23.23515633658115,0.0038724922138738955
