"Time","sum (container_memory_working_set_bytes{id!=""/"",pod_name=~""^()()().*$"",kubernetes_io_hostname=~""^.*$""}) by (pod_name)"
2024-06-07 12:15:08,11597189120
2024-06-07 12:15:10,11600678912
2024-06-07 12:15:12,11604279296
2024-06-07 12:15:14,11605180416
2024-06-07 12:15:16,11610284032
2024-06-07 12:15:18,11613687808
2024-06-07 12:15:20,11613368320
2024-06-07 12:15:22,11696697344
2024-06-07 12:15:24,11724894208
2024-06-07 12:15:26,11728142336
2024-06-07 12:15:28,11732029440
2024-06-07 12:15:30,11750432768
2024-06-07 12:15:32,11809972224
2024-06-07 12:15:34,11906387968
2024-06-07 12:15:36,12219932672
2024-06-07 12:15:38,12270891008
2024-06-07 12:15:40,12291633152
2024-06-07 12:15:42,12448296960
2024-06-07 12:15:44,12484972544
2024-06-07 12:15:46,12492013568
2024-06-07 12:15:48,12486365184
2024-06-07 12:15:50,12501590016
2024-06-07 12:15:52,12560351232
2024-06-07 12:15:54,12609765376
2024-06-07 12:15:56,12706136064
2024-06-07 12:15:58,12720902144
2024-06-07 12:16:00,12766638080
2024-06-07 12:16:02,12800278528
2024-06-07 12:16:04,12821970944
2024-06-07 12:16:06,12825632768
2024-06-07 12:16:08,12822061056
2024-06-07 12:16:10,12818432000
2024-06-07 12:16:12,12839862272
2024-06-07 12:16:14,12839202816
2024-06-07 12:16:16,12846563328
2024-06-07 12:16:18,12844933120
2024-06-07 12:16:20,12859219968
2024-06-07 12:16:22,12860231680
2024-06-07 12:16:24,12860030976
2024-06-07 12:16:26,12866244608
2024-06-07 12:16:28,12865761280
2024-06-07 12:16:30,12860465152
2024-06-07 12:16:32,12864974848
2024-06-07 12:16:34,12869230592
2024-06-07 12:16:36,12880015360
2024-06-07 12:16:38,12892975104
2024-06-07 12:16:40,12901822464
2024-06-07 12:16:42,12903817216
2024-06-07 12:16:44,12900810752
2024-06-07 12:16:46,12900864000
2024-06-07 12:16:48,12891144192
2024-06-07 12:16:50,12886151168
2024-06-07 12:16:52,12880248832
2024-06-07 12:16:54,12879126528
2024-06-07 12:16:56,12881592320
2024-06-07 12:16:58,12881899520
2024-06-07 12:17:00,12884324352
2024-06-07 12:17:02,12892721152
2024-06-07 12:17:04,12902391808
2024-06-07 12:17:06,12905693184
2024-06-07 12:17:08,12907544576
2024-06-07 12:17:10,12891426816
2024-06-07 12:17:12,12892639232
2024-06-07 12:17:14,12892950528
2024-06-07 12:17:16,12893061120
2024-06-07 12:17:18,12892426240
2024-06-07 12:17:20,12895059968
2024-06-07 12:17:22,12898566144
2024-06-07 12:17:24,12896342016
2024-06-07 12:17:26,12899135488
2024-06-07 12:17:28,12896239616
2024-06-07 12:17:30,12896772096
2024-06-07 12:17:32,12893130752
2024-06-07 12:17:34,12883951616
2024-06-07 12:17:36,12881920000
2024-06-07 12:17:38,12881899520
2024-06-07 12:17:40,12887867392
2024-06-07 12:17:42,12885716992
2024-06-07 12:17:44,12894265344
2024-06-07 12:17:46,12900347904
2024-06-07 12:17:48,12903571456
2024-06-07 12:17:50,12904206336
2024-06-07 12:17:52,12908150784
2024-06-07 12:17:54,12910092288
2024-06-07 12:17:56,12910653440
2024-06-07 12:17:58,12908916736
