"Time","sum(rate(container_fs_reads_bytes_total{namespace=""default""}[5m]))"
2024-05-31 12:09:06,5956
2024-05-31 12:09:08,5931
2024-05-31 12:09:10,5922
2024-05-31 12:09:12,5508
2024-05-31 12:09:14,5394
2024-05-31 12:09:16,4949
2024-05-31 12:09:18,4920
2024-05-31 12:09:20,4973
2024-05-31 12:09:22,4937
2024-05-31 12:09:24,4794
2024-05-31 12:09:26,4753
2024-05-31 12:09:28,4785
2024-05-31 12:09:30,4761
2024-05-31 12:09:32,4751
2024-05-31 12:09:34,4792
2024-05-31 12:09:36,4586
2024-05-31 12:09:38,4586
2024-05-31 12:09:40,4526
2024-05-31 12:09:42,4540
2024-05-31 12:09:44,4372
2024-05-31 12:09:46,4132
2024-05-31 12:09:48,3614
2024-05-31 12:09:50,3612
2024-05-31 12:09:52,3469
2024-05-31 12:09:54,3469
2024-05-31 12:09:56,3469
2024-05-31 12:09:58,3425
2024-05-31 12:10:00,3849
2024-05-31 12:10:02,3913
2024-05-31 12:10:04,3953
2024-05-31 12:10:06,4005
2024-05-31 12:10:08,3966
2024-05-31 12:10:10,3878
2024-05-31 12:10:12,3903
2024-05-31 12:10:14,3903
2024-05-31 12:10:16,3927
2024-05-31 12:10:18,3946
2024-05-31 12:10:20,3948
2024-05-31 12:10:22,3931
2024-05-31 12:10:24,3952
2024-05-31 12:10:26,4034
2024-05-31 12:10:28,3810
2024-05-31 12:10:30,3826
2024-05-31 12:10:32,3824
2024-05-31 12:10:34,3574
2024-05-31 12:10:36,3487
2024-05-31 12:10:38,3452
2024-05-31 12:10:40,3609
2024-05-31 12:10:42,3609
2024-05-31 12:10:44,3609
2024-05-31 12:10:46,3609
2024-05-31 12:10:48,3605
2024-05-31 12:10:50,3506
2024-05-31 12:10:52,3506
2024-05-31 12:10:54,3505
2024-05-31 12:10:56,3586
2024-05-31 12:10:58,3586
2024-05-31 12:11:00,3543
2024-05-31 12:11:02,3560
2024-05-31 12:11:04,3580
2024-05-31 12:11:06,3519
2024-05-31 12:11:08,3475
2024-05-31 12:11:10,3549
2024-05-31 12:11:12,3606
2024-05-31 12:11:14,3578
2024-05-31 12:11:16,3559
2024-05-31 12:11:18,3543
2024-05-31 12:11:20,3178
2024-05-31 12:11:22,2932
2024-05-31 12:11:24,2932
2024-05-31 12:11:26,3003
2024-05-31 12:11:28,3003
2024-05-31 12:11:30,2983
2024-05-31 12:11:32,2933
2024-05-31 12:11:34,2936
2024-05-31 12:11:36,2891
2024-05-31 12:11:38,2926
2024-05-31 12:11:40,2967
2024-05-31 12:11:42,3010
2024-05-31 12:11:44,3010
2024-05-31 12:11:46,2908
2024-05-31 12:11:48,2795
2024-05-31 12:11:50,2779
2024-05-31 12:11:52,2675
2024-05-31 12:11:54,2680
2024-05-31 12:11:56,2770
2024-05-31 12:11:58,2810
2024-05-31 12:12:00,2810
2024-05-31 12:12:02,2738
2024-05-31 12:12:04,2721
2024-05-31 12:12:06,2649
2024-05-31 12:12:08,2649
2024-05-31 12:12:10,2696
2024-05-31 12:12:12,2738
2024-05-31 12:12:14,2785
2024-05-31 12:12:16,2780
2024-05-31 12:12:18,2774
2024-05-31 12:12:20,2769
2024-05-31 12:12:22,2662
2024-05-31 12:12:24,2473
2024-05-31 12:12:26,2269
2024-05-31 12:12:28,1900
2024-05-31 12:12:30,1900
2024-05-31 12:12:32,1900
2024-05-31 12:12:34,1864
2024-05-31 12:12:36,1864
2024-05-31 12:12:38,1846
2024-05-31 12:12:40,1925
2024-05-31 12:12:42,1925
2024-05-31 12:12:44,1925
2024-05-31 12:12:46,1925
2024-05-31 12:12:48,1897
2024-05-31 12:12:50,1868
2024-05-31 12:12:52,1868
2024-05-31 12:12:54,1462
2024-05-31 12:12:56,1006
2024-05-31 12:12:58,1006
2024-05-31 12:13:00,1006
2024-05-31 12:13:02,987
2024-05-31 12:13:04,987
2024-05-31 12:13:06,1014
2024-05-31 12:13:08,1014
2024-05-31 12:13:10,1040
2024-05-31 12:13:12,1012
2024-05-31 12:13:14,991
2024-05-31 12:13:16,991
2024-05-31 12:13:18,991
2024-05-31 12:13:20,991
2024-05-31 12:13:22,1010
2024-05-31 12:13:24,1040
2024-05-31 12:13:26,1013
2024-05-31 12:13:28,998
2024-05-31 12:13:30,995
2024-05-31 12:13:32,1000
2024-05-31 12:13:34,1000
2024-05-31 12:13:36,1000
2024-05-31 12:13:38,1000
2024-05-31 12:13:40,1025
2024-05-31 12:13:42,977
2024-05-31 12:13:44,990
2024-05-31 12:13:46,1005
2024-05-31 12:13:48,1005
2024-05-31 12:13:50,1005
2024-05-31 12:13:52,1005
2024-05-31 12:13:54,1032
2024-05-31 12:13:56,1007
2024-05-31 12:13:58,981
2024-05-31 12:14:00,1005
2024-05-31 12:14:02,1005
2024-05-31 12:14:04,1005
2024-05-31 12:14:06,988
2024-05-31 12:14:08,1009
2024-05-31 12:14:10,1009
2024-05-31 12:14:12,985
2024-05-31 12:14:14,1005
2024-05-31 12:14:16,1005
2024-05-31 12:14:18,1005
2024-05-31 12:14:20,1005
