"Time","sum(rate(container_fs_reads_bytes_total{namespace=""default""}[5m]))"
2024-06-07 12:46:18,768
2024-06-07 12:46:20,781
2024-06-07 12:46:22,779
2024-06-07 12:46:24,780
2024-06-07 12:46:26,783
2024-06-07 12:46:28,1391
2024-06-07 12:46:30,1410
2024-06-07 12:46:32,1433
2024-06-07 12:46:34,1463
2024-06-07 12:46:36,1460
2024-06-07 12:46:38,1460
2024-06-07 12:46:40,1461
2024-06-07 12:46:42,1463
2024-06-07 12:46:44,1439
2024-06-07 12:46:46,1427
2024-06-07 12:46:48,1410
2024-06-07 12:46:50,1431
2024-06-07 12:46:52,1451
2024-06-07 12:46:54,1450
2024-06-07 12:46:56,1450
2024-06-07 12:46:58,1450
2024-06-07 12:47:00,1450
2024-06-07 12:47:02,1415
2024-06-07 12:47:04,1415
2024-06-07 12:47:06,1415
2024-06-07 12:47:08,1439
2024-06-07 12:47:10,1437
2024-06-07 12:47:12,1440
2024-06-07 12:47:14,1440
2024-06-07 12:47:16,1436
2024-06-07 12:47:18,1400
2024-06-07 12:47:20,1429
2024-06-07 12:47:22,1429
2024-06-07 12:47:24,1429
2024-06-07 12:47:26,1433
2024-06-07 12:47:28,1464
2024-06-07 12:47:30,1440
2024-06-07 12:47:32,1397
2024-06-07 12:47:34,1429
2024-06-07 12:47:36,1428
2024-06-07 12:47:38,1429
2024-06-07 12:47:40,1468
2024-06-07 12:47:42,1470
2024-06-07 12:47:44,1444
2024-06-07 12:47:46,1407
2024-06-07 12:47:48,1427
2024-06-07 12:47:50,1446
2024-06-07 12:47:52,1449
2024-06-07 12:47:54,1449
2024-06-07 12:47:56,1450
2024-06-07 12:47:58,1476
2024-06-07 12:48:00,1498
2024-06-07 12:48:02,1431
2024-06-07 12:48:04,1413
2024-06-07 12:48:06,1410
2024-06-07 12:48:08,1440
2024-06-07 12:48:10,1441
2024-06-07 12:48:12,1444
2024-06-07 12:48:14,1423
2024-06-07 12:48:16,1420
2024-06-07 12:48:18,1444
2024-06-07 12:48:20,1441
2024-06-07 12:48:22,1463
2024-06-07 12:48:24,1441
2024-06-07 12:48:26,1441
2024-06-07 12:48:28,1441
2024-06-07 12:48:30,1440
2024-06-07 12:48:32,1413
2024-06-07 12:48:34,1413
2024-06-07 12:48:36,1129
2024-06-07 12:48:38,1126
2024-06-07 12:48:40,805
2024-06-07 12:48:42,805
2024-06-07 12:48:44,794
2024-06-07 12:48:46,794
2024-06-07 12:48:48,793
2024-06-07 12:48:50,804
2024-06-07 12:48:52,824
2024-06-07 12:48:54,810
2024-06-07 12:48:56,810
2024-06-07 12:48:58,793
2024-06-07 12:49:00,776
2024-06-07 12:49:02,791
2024-06-07 12:49:04,791
2024-06-07 12:49:06,775
2024-06-07 12:49:08,795
2024-06-07 12:49:10,788
2024-06-07 12:49:12,778
2024-06-07 12:49:14,759
2024-06-07 12:49:16,770
2024-06-07 12:49:18,782
2024-06-07 12:49:20,782
2024-06-07 12:49:22,783
2024-06-07 12:49:24,767
2024-06-07 12:49:26,1173
2024-06-07 12:49:28,1157
2024-06-07 12:49:30,1169
2024-06-07 12:49:32,1565
2024-06-07 12:49:34,1578
2024-06-07 12:49:36,1575
2024-06-07 12:49:38,1575
2024-06-07 12:49:40,1575
2024-06-07 12:49:42,1577
2024-06-07 12:49:44,1579
2024-06-07 12:49:46,1557
2024-06-07 12:49:48,1573
2024-06-07 12:49:50,1573
2024-06-07 12:49:52,1581
2024-06-07 12:49:54,1483
2024-06-07 12:49:56,1485
2024-06-07 12:49:58,1473
2024-06-07 12:50:00,1457
2024-06-07 12:50:02,1457
2024-06-07 12:50:04,1458
2024-06-07 12:50:06,1458
2024-06-07 12:50:08,1475
2024-06-07 12:50:10,1456
2024-06-07 12:50:12,1481
2024-06-07 12:50:14,1467
2024-06-07 12:50:16,1450
2024-06-07 12:50:18,1450
2024-06-07 12:50:20,1461
2024-06-07 12:50:22,1466
2024-06-07 12:50:24,1466
2024-06-07 12:50:26,1466
2024-06-07 12:50:28,1486
2024-06-07 12:50:30,1471
2024-06-07 12:50:32,1474
2024-06-07 12:50:34,1460
2024-06-07 12:50:36,1440
2024-06-07 12:50:38,1481
2024-06-07 12:50:40,1481
